"workerid","rt","trial_type","trial_num","name","response","positive","endpoint_high","negation","sentence_type","adjective","referent","gender","superlative_endpoints","endpoint_low","antonym"
1,3054,"one_slider",13,"Melinda",0.18,"beautiful","most beautiful","lexical","antonym","ugly","person","female",0,"most ugly","ugly"
1,2844,"one_slider",14,"David",0.58,"fat","fattest","lexical","neg_antonym","not skinny","person","male",1,"skinniest","skinny"
1,2945,"one_slider",15,"Kathleen",0.19,"happy","happiest","morphological","antonym","unhappy","person","female",1,"unhappiest","unhappy"
1,3262,"one_slider",16,"Kim",0.57,"friendly","most friendly","morphological","neg_antonym","not unfriendly","person","female",0,"most unfriendly","unfriendly"
2,16862,"one_slider",1,"Cameron",0.22,"hard-working","most hard-working","lexical","neg_positive","not hard-working","person","male",0,"most lazy","lazy"
2,4210,"one_slider",2,"Michelle",0.01,"brave","most brave","lexical","antonym","cowardly","person","female",0,"most cowardly","cowardly"
2,5273,"one_slider",3,"Melinda",0.48,"rich","richest","lexical","neg_positive","not rich","person","female",1,"poorest","poor"
2,4477,"one_slider",4,"Daniel",0.82,"polite","most polite","morphological","positive","polite","person","male",0,"most impolite","impolite"
2,5446,"one_slider",5,"Angela",0.72,"tall","tallest","lexical","neg_antonym","not short","person","female",1,"shortest","short"
2,6249,"one_slider",6,"Jennifer",0.79,"proud","most proud","lexical","neg_antonym","not humble","person","female",0,"most humble","humble"
2,4888,"one_slider",7,"Lucas",0.13,"fat","fattest","lexical","antonym","skinny","person","male",1,"skinniest","skinny"
2,7360,"one_slider",8,"Kathleen",0.28,"intelligent","most intelligent","morphological","antonym","unintelligent","person","female",0,"most unintelligent","unintelligent"
2,3060,"one_slider",9,"David",0.7,"educated","most educated","morphological","positive","educated","person","male",0,"most uneducated","uneducated"
2,4381,"one_slider",10,"Julia",0.59,"strong","strongest","lexical","positive","strong","person","female",1,"weakest","weak"
2,3507,"one_slider",11,"Alicia",0.38,"honest","most honest","morphological","antonym","dishonest","person","female",0,"most dishonest","dishonest"
2,3046,"one_slider",12,"Sophia",0.39,"happy","happiest","morphological","neg_positive","not happy","person","female",1,"unhappiest","unhappy"
2,3953,"one_slider",13,"Anthony",0.36,"successful","most successful","morphological","neg_antonym","not unsuccessful","person","male",0,"most unsuccessful","unsuccessful"
2,5844,"one_slider",14,"Lee",0.36,"interesting","most interesting","morphological","neg_positive","not interesting","person","male",0,"most uninteresting","uninteresting"
2,3041,"one_slider",15,"Gabriel",0.7,"beautiful","most beautiful","lexical","positive","beautiful","person","male",0,"most ugly","ugly"
2,3901,"one_slider",16,"Tom",0.75,"friendly","most friendly","morphological","neg_antonym","not unfriendly","person","male",0,"most unfriendly","unfriendly"
3,6629,"one_slider",1,"Claire",0.28,"polite","most polite","morphological","antonym","impolite","person","female",0,"most impolite","impolite"
3,7030,"one_slider",2,"Angela",0.23,"educated","most educated","morphological","neg_positive","not educated","person","female",0,"most uneducated","uneducated"
3,3473,"one_slider",3,"Cameron",0.37,"beautiful","most beautiful","lexical","neg_positive","not beautiful","person","male",0,"most ugly","ugly"
3,4174,"one_slider",4,"Greg",0.23,"loud","most loud","lexical","neg_positive","not loud","person","male",0,"most quiet","quiet"
3,3439,"one_slider",5,"Sophia",0.68,"fat","fattest","lexical","positive","fat","person","female",1,"skinniest","skinny"
3,4006,"one_slider",6,"Daniel",0.78,"brave","most brave","lexical","positive","brave","person","male",0,"most cowardly","cowardly"
3,5427,"one_slider",7,"Eric",0.19,"honest","most honest","morphological","neg_positive","not honest","person","male",0,"most dishonest","dishonest"
3,14114,"one_slider",8,"Michael",0.87,"friendly","most friendly","morphological","positive","friendly","person","male",0,"most unfriendly","unfriendly"
3,3232,"one_slider",9,"John",0.2,"attractive","most attractive","morphological","antonym","unattractive","person","male",0,"most unattractive","unattractive"
3,5564,"one_slider",10,"Maya",0.75,"successful","most successful","morphological","neg_antonym","not unsuccessful","person","female",0,"most unsuccessful","unsuccessful"
3,7145,"one_slider",11,"Jennifer",0.77,"proud","most proud","lexical","neg_antonym","not humble","person","female",0,"most humble","humble"
3,5530,"one_slider",12,"Veronica",0.71,"intelligent","most intelligent","morphological","positive","intelligent","person","female",0,"most unintelligent","unintelligent"
3,3182,"one_slider",13,"Anthony",0.2,"strong","strongest","lexical","antonym","weak","person","male",1,"weakest","weak"
3,2468,"one_slider",14,"David",0.18,"hard-working","most hard-working","lexical","antonym","lazy","person","male",0,"most lazy","lazy"
3,6529,"one_slider",15,"Stephanie",0.56,"rich","richest","lexical","neg_antonym","not poor","person","female",1,"poorest","poor"
3,5221,"one_slider",16,"Tom",0.65,"mature","most mature","morphological","neg_antonym","not immature","person","male",0,"most immature","immature"
4,7143,"one_slider",1,"Claire",0.74,"polite","most polite","morphological","positive","polite","person","female",0,"most impolite","impolite"
4,8693,"one_slider",2,"Daniel",0.43,"brave","most brave","lexical","neg_antonym","not cowardly","person","male",0,"most cowardly","cowardly"
4,6282,"one_slider",3,"Laura",0.64,"beautiful","most beautiful","lexical","positive","beautiful","person","female",0,"most ugly","ugly"
4,6036,"one_slider",4,"Alexander",0.12,"strong","strongest","lexical","antonym","weak","person","male",1,"weakest","weak"
4,3323,"one_slider",5,"Tom",0.69,"intelligent","most intelligent","morphological","positive","intelligent","person","male",0,"most unintelligent","unintelligent"
4,4585,"one_slider",6,"Kathleen",0.21,"interesting","most interesting","morphological","antonym","uninteresting","person","female",0,"most uninteresting","uninteresting"
4,6364,"one_slider",7,"Sophia",0.56,"educated","most educated","morphological","neg_antonym","not uneducated","person","female",0,"most uneducated","uneducated"
4,4077,"one_slider",8,"Gabriel",0.35,"loud","most loud","lexical","neg_positive","not loud","person","male",0,"most quiet","quiet"
4,4403,"one_slider",9,"Eric",0.4,"rich","richest","lexical","neg_positive","not rich","person","male",1,"poorest","poor"
4,7974,"one_slider",10,"Michael",0.63,"wise","most wise","lexical","positive","wise","person","male",0,"most foolish","foolish"
4,2793,"one_slider",11,"Lee",0.26,"successful","most successful","morphological","antonym","unsuccessful","person","male",0,"most unsuccessful","unsuccessful"
4,4626,"one_slider",12,"Michelle",0.18,"fat","fattest","lexical","antonym","skinny","person","female",1,"skinniest","skinny"
4,3953,"one_slider",13,"Angela",0.35,"friendly","most friendly","morphological","neg_positive","not friendly","person","female",0,"most unfriendly","unfriendly"
4,3588,"one_slider",14,"Anthony",0.62,"mature","most mature","morphological","neg_antonym","not immature","person","male",0,"most immature","immature"
4,6166,"one_slider",15,"Kim",0.58,"hard-working","most hard-working","lexical","neg_antonym","not lazy","person","female",0,"most lazy","lazy"
4,3763,"one_slider",16,"Maya",0.14,"attractive","most attractive","morphological","neg_positive","not attractive","person","female",0,"most unattractive","unattractive"
5,15417,"one_slider",1,"Kathleen",0.79,"intelligent","most intelligent","morphological","positive","intelligent","person","female",0,"most unintelligent","unintelligent"
5,15415,"one_slider",2,"Maya",0.83,"mature","most mature","morphological","positive","mature","person","female",0,"most immature","immature"
5,23409,"one_slider",3,"Sophia",0.78,"hard-working","most hard-working","lexical","neg_antonym","not lazy","person","female",0,"most lazy","lazy"
5,11990,"one_slider",4,"Melinda",0.14,"rich","richest","lexical","antonym","poor","person","female",1,"poorest","poor"
5,12462,"one_slider",5,"Angela",0.1,"happy","happiest","morphological","neg_positive","not happy","person","female",1,"unhappiest","unhappy"
5,22316,"one_slider",6,"Michael",0.12,"proud","most proud","lexical","neg_positive","not proud","person","male",0,"most humble","humble"
5,9634,"one_slider",7,"Michelle",0.11,"friendly","most friendly","morphological","antonym","unfriendly","person","female",0,"most unfriendly","unfriendly"
5,26098,"one_slider",8,"Kim",0.86,"honest","most honest","morphological","neg_antonym","not dishonest","person","female",0,"most dishonest","dishonest"
5,41100,"one_slider",9,"Alicia",0.51,"beautiful","most beautiful","lexical","neg_positive","not beautiful","person","female",0,"most ugly","ugly"
5,11250,"one_slider",10,"Anthony",0.1,"wise","most wise","lexical","antonym","foolish","person","male",0,"most foolish","foolish"
5,8447,"one_slider",11,"Julia",0.88,"loud","most loud","lexical","positive","loud","person","female",0,"most quiet","quiet"
5,13535,"one_slider",12,"Tom",0.88,"brave","most brave","lexical","neg_antonym","not cowardly","person","male",0,"most cowardly","cowardly"
5,8664,"one_slider",13,"John",0.83,"tall","tallest","lexical","positive","tall","person","male",1,"shortest","short"
5,16451,"one_slider",14,"Gabriel",0.83,"educated","most educated","morphological","neg_antonym","not uneducated","person","male",0,"most uneducated","uneducated"
5,28215,"one_slider",15,"Monica",0.14,"successful","most successful","morphological","antonym","unsuccessful","person","female",0,"most unsuccessful","unsuccessful"
5,31035,"one_slider",16,"Veronica",0.14,"interesting","most interesting","morphological","neg_positive","not interesting","person","female",0,"most uninteresting","uninteresting"
6,22371,"one_slider",1,"Anthony",0.52,"mature","most mature","morphological","antonym","immature","person","male",0,"most immature","immature"
6,5029,"one_slider",2,"Michael",0.48,"happy","happiest","morphological","neg_antonym","not unhappy","person","male",1,"unhappiest","unhappy"
6,3559,"one_slider",3,"Melinda",0.55,"fat","fattest","lexical","positive","fat","person","female",1,"skinniest","skinny"
6,3711,"one_slider",4,"Daniel",0.52,"rich","richest","lexical","neg_positive","not rich","person","male",1,"poorest","poor"
6,7391,"one_slider",5,"Stephen",0.49,"educated","most educated","morphological","positive","educated","person","male",0,"most uneducated","uneducated"
6,5399,"one_slider",6,"David",0.47,"attractive","most attractive","morphological","antonym","unattractive","person","male",0,"most unattractive","unattractive"
6,1975,"one_slider",7,"Stephanie",0.53,"tall","tallest","lexical","antonym","short","person","female",1,"shortest","short"
6,3598,"one_slider",8,"Tom",0.49,"polite","most polite","morphological","neg_positive","not polite","person","male",0,"most impolite","impolite"
6,3801,"one_slider",9,"Kathleen",0.52,"strong","strongest","lexical","neg_antonym","not weak","person","female",1,"weakest","weak"
6,3672,"one_slider",10,"Lee",0.46,"successful","most successful","morphological","neg_antonym","not unsuccessful","person","male",0,"most unsuccessful","unsuccessful"
6,5094,"one_slider",11,"Angela",0.5,"beautiful","most beautiful","lexical","neg_positive","not beautiful","person","female",0,"most ugly","ugly"
6,2871,"one_slider",12,"Cameron",0.57,"loud","most loud","lexical","neg_antonym","not quiet","person","male",0,"most quiet","quiet"
6,2135,"one_slider",13,"Greg",0.41,"interesting","most interesting","morphological","neg_positive","not interesting","person","male",0,"most uninteresting","uninteresting"
6,3527,"one_slider",14,"Michelle",0.49,"brave","most brave","lexical","antonym","cowardly","person","female",0,"most cowardly","cowardly"
6,2359,"one_slider",15,"Laura",0.61,"wise","most wise","lexical","positive","wise","person","female",0,"most foolish","foolish"
6,2263,"one_slider",16,"John",0.64,"honest","most honest","morphological","positive","honest","person","male",0,"most dishonest","dishonest"
7,15977,"one_slider",1,"David",0.25,"intelligent","most intelligent","morphological","antonym","unintelligent","person","male",0,"most unintelligent","unintelligent"
7,9635,"one_slider",2,"Alexander",0.08,"proud","most proud","lexical","antonym","humble","person","male",0,"most humble","humble"
7,8326,"one_slider",3,"Jennifer",0.85,"brave","most brave","lexical","neg_antonym","not cowardly","person","female",0,"most cowardly","cowardly"
7,6115,"one_slider",4,"Sophia",0.2,"beautiful","most beautiful","lexical","neg_positive","not beautiful","person","female",0,"most ugly","ugly"
7,6581,"one_slider",5,"Alicia",0.78,"rich","richest","lexical","neg_antonym","not poor","person","female",1,"poorest","poor"
7,5490,"one_slider",6,"Gabriel",0.18,"strong","strongest","lexical","antonym","weak","person","male",1,"weakest","weak"
7,8033,"one_slider",7,"Kathleen",0.93,"honest","most honest","morphological","neg_antonym","not dishonest","person","female",0,"most dishonest","dishonest"
7,7554,"one_slider",8,"Angela",0.94,"mature","most mature","morphological","neg_antonym","not immature","person","female",0,"most immature","immature"
7,5224,"one_slider",9,"Maya",0.94,"loud","most loud","lexical","positive","loud","person","female",0,"most quiet","quiet"
7,4136,"one_slider",10,"Michelle",0.9,"happy","happiest","morphological","positive","happy","person","female",1,"unhappiest","unhappy"
7,6953,"one_slider",11,"Laura",0.9,"interesting","most interesting","morphological","positive","interesting","person","female",0,"most uninteresting","uninteresting"
7,5089,"one_slider",12,"Greg",0.11,"wise","most wise","lexical","neg_positive","not wise","person","male",0,"most foolish","foolish"
7,10615,"one_slider",13,"Melinda",0.09,"educated","most educated","morphological","antonym","uneducated","person","female",0,"most uneducated","uneducated"
7,8595,"one_slider",14,"Daniel",0.08,"attractive","most attractive","morphological","neg_positive","not attractive","person","male",0,"most unattractive","unattractive"
7,4357,"one_slider",15,"Lee",0.11,"polite","most polite","morphological","neg_positive","not polite","person","male",0,"most impolite","impolite"
7,6366,"one_slider",16,"Julia",0.87,"fat","fattest","lexical","positive","fat","person","female",1,"skinniest","skinny"
8,13130,"one_slider",1,"Angela",0.13,"brave","most brave","lexical","neg_positive","not brave","person","female",0,"most cowardly","cowardly"
8,7084,"one_slider",2,"Laura",1,"successful","most successful","morphological","positive","successful","person","female",0,"most unsuccessful","unsuccessful"
8,4873,"one_slider",3,"Monica",0,"honest","most honest","morphological","neg_positive","not honest","person","female",0,"most dishonest","dishonest"
8,4086,"one_slider",4,"Alicia",1,"rich","richest","lexical","positive","rich","person","female",1,"poorest","poor"
8,3286,"one_slider",5,"Kim",0,"fat","fattest","lexical","antonym","skinny","person","female",1,"skinniest","skinny"
8,3742,"one_slider",6,"John",1,"strong","strongest","lexical","positive","strong","person","male",1,"weakest","weak"
8,4915,"one_slider",7,"Tom",0.12,"hard-working","most hard-working","lexical","antonym","lazy","person","male",0,"most lazy","lazy"
8,6770,"one_slider",8,"William",0,"intelligent","most intelligent","morphological","neg_antonym","not unintelligent","person","male",0,"most unintelligent","unintelligent"
8,4421,"one_slider",9,"Michael",0,"educated","most educated","morphological","antonym","uneducated","person","male",0,"most uneducated","uneducated"
8,8664,"one_slider",10,"Melinda",0.21,"proud","most proud","lexical","neg_positive","not proud","person","female",0,"most humble","humble"
8,4901,"one_slider",11,"Alexander",0.23,"interesting","most interesting","morphological","neg_antonym","not uninteresting","person","male",0,"most uninteresting","uninteresting"
8,6240,"one_slider",12,"Maya",0.42,"loud","most loud","lexical","neg_antonym","not quiet","person","female",0,"most quiet","quiet"
8,4552,"one_slider",13,"Gabriel",0.23,"mature","most mature","morphological","antonym","immature","person","male",0,"most immature","immature"
8,2629,"one_slider",14,"Eric",0.44,"happy","happiest","morphological","neg_positive","not happy","person","male",1,"unhappiest","unhappy"
8,2631,"one_slider",15,"Jennifer",0.42,"tall","tallest","lexical","neg_antonym","not short","person","female",1,"shortest","short"
8,4902,"one_slider",16,"Cameron",0.64,"polite","most polite","morphological","positive","polite","person","male",0,"most impolite","impolite"
9,7015,"one_slider",1,"Kim",0.18,"honest","most honest","morphological","neg_positive","not honest","person","female",0,"most dishonest","dishonest"
9,2688,"one_slider",2,"Cameron",0.12,"successful","most successful","morphological","neg_positive","not successful","person","male",0,"most unsuccessful","unsuccessful"
9,2864,"one_slider",3,"Daniel",0.48,"polite","most polite","morphological","neg_antonym","not impolite","person","male",0,"most impolite","impolite"
9,2584,"one_slider",4,"Alicia",0.05,"wise","most wise","lexical","antonym","foolish","person","female",0,"most foolish","foolish"
9,2600,"one_slider",5,"Stephen",0.18,"attractive","most attractive","morphological","antonym","unattractive","person","male",0,"most unattractive","unattractive"
9,2208,"one_slider",6,"Lee",0.16,"brave","most brave","lexical","neg_positive","not brave","person","male",0,"most cowardly","cowardly"
9,2552,"one_slider",7,"Monica",0.11,"intelligent","most intelligent","morphological","antonym","unintelligent","person","female",0,"most unintelligent","unintelligent"
9,2655,"one_slider",8,"Sophia",0.97,"fat","fattest","lexical","positive","fat","person","female",1,"skinniest","skinny"
9,1936,"one_slider",9,"Gabriel",0.85,"proud","most proud","lexical","positive","proud","person","male",0,"most humble","humble"
9,2608,"one_slider",10,"Michelle",0.47,"happy","happiest","morphological","neg_antonym","not unhappy","person","female",1,"unhappiest","unhappy"
9,2848,"one_slider",11,"Stephanie",0.1,"rich","richest","lexical","antonym","poor","person","female",1,"poorest","poor"
9,2487,"one_slider",12,"Veronica",0.48,"tall","tallest","lexical","neg_antonym","not short","person","female",1,"shortest","short"
9,3376,"one_slider",13,"Kathleen",0.86,"interesting","most interesting","morphological","positive","interesting","person","female",0,"most uninteresting","uninteresting"
9,2463,"one_slider",14,"Angela",0.23,"hard-working","most hard-working","lexical","neg_positive","not hard-working","person","female",0,"most lazy","lazy"
9,3983,"one_slider",15,"William",0.66,"friendly","most friendly","morphological","positive","friendly","person","male",0,"most unfriendly","unfriendly"
9,2768,"one_slider",16,"Lucas",0.51,"beautiful","most beautiful","lexical","neg_antonym","not ugly","person","male",0,"most ugly","ugly"
10,6635,"one_slider",1,"Sophia",0.74,"fat","fattest","lexical","positive","fat","person","female",1,"skinniest","skinny"
10,3083,"one_slider",2,"Michelle",0.09,"successful","most successful","morphological","neg_antonym","not unsuccessful","person","female",0,"most unsuccessful","unsuccessful"
10,3689,"one_slider",3,"Melinda",0.18,"polite","most polite","morphological","neg_positive","not polite","person","female",0,"most impolite","impolite"
10,3040,"one_slider",4,"Daniel",0.2,"hard-working","most hard-working","lexical","antonym","lazy","person","male",0,"most lazy","lazy"
10,3626,"one_slider",5,"Kim",0.76,"wise","most wise","lexical","neg_antonym","not foolish","person","female",0,"most foolish","foolish"
10,5229,"one_slider",6,"Claire",0.21,"tall","tallest","lexical","neg_positive","not tall","person","female",1,"shortest","short"
10,5261,"one_slider",7,"Alicia",0.28,"friendly","most friendly","morphological","antonym","unfriendly","person","female",0,"most unfriendly","unfriendly"
10,3055,"one_slider",8,"Veronica",0.7,"rich","richest","lexical","neg_antonym","not poor","person","female",1,"poorest","poor"
10,3404,"one_slider",9,"Alexander",0.25,"happy","happiest","morphological","neg_positive","not happy","person","male",1,"unhappiest","unhappy"
10,3131,"one_slider",10,"Gabriel",0.64,"honest","most honest","morphological","positive","honest","person","male",0,"most dishonest","dishonest"
10,2863,"one_slider",11,"Lucas",0.16,"loud","most loud","lexical","antonym","quiet","person","male",0,"most quiet","quiet"
10,2318,"one_slider",12,"Monica",0.57,"interesting","most interesting","morphological","positive","interesting","person","female",0,"most uninteresting","uninteresting"
10,1991,"one_slider",13,"Kathleen",0.24,"strong","strongest","lexical","neg_positive","not strong","person","female",1,"weakest","weak"
10,2893,"one_slider",14,"Greg",0.22,"attractive","most attractive","morphological","antonym","unattractive","person","male",0,"most unattractive","unattractive"
10,2799,"one_slider",15,"Cameron",0.6,"mature","most mature","morphological","neg_antonym","not immature","person","male",0,"most immature","immature"
10,1905,"one_slider",16,"Anthony",0.55,"proud","most proud","lexical","positive","proud","person","male",0,"most humble","humble"
11,7619,"one_slider",1,"Michael",0.41,"strong","strongest","lexical","antonym","weak","person","male",1,"weakest","weak"
11,3220,"one_slider",2,"Kim",0.36,"happy","happiest","morphological","antonym","unhappy","person","female",1,"unhappiest","unhappy"
11,3356,"one_slider",3,"Angela",0.66,"rich","richest","lexical","positive","rich","person","female",1,"poorest","poor"
11,5035,"one_slider",4,"Melinda",0.61,"fat","fattest","lexical","neg_antonym","not skinny","person","female",1,"skinniest","skinny"
11,3792,"one_slider",5,"Stephen",0.63,"proud","most proud","lexical","neg_antonym","not humble","person","male",0,"most humble","humble"
11,3039,"one_slider",6,"Monica",0.38,"honest","most honest","morphological","neg_positive","not honest","person","female",0,"most dishonest","dishonest"
11,3076,"one_slider",7,"Eric",0.33,"beautiful","most beautiful","lexical","antonym","ugly","person","male",0,"most ugly","ugly"
11,3040,"one_slider",8,"David",0.64,"loud","most loud","lexical","neg_positive","not loud","person","male",0,"most quiet","quiet"
11,3634,"one_slider",9,"Cameron",0.3,"mature","most mature","morphological","antonym","immature","person","male",0,"most immature","immature"
11,2589,"one_slider",10,"Maya",0.56,"successful","most successful","morphological","positive","successful","person","female",0,"most unsuccessful","unsuccessful"
11,3053,"one_slider",11,"Michelle",0.6,"brave","most brave","lexical","positive","brave","person","female",0,"most cowardly","cowardly"
11,6617,"one_slider",12,"Alicia",0.63,"attractive","most attractive","morphological","neg_antonym","not unattractive","person","female",0,"most unattractive","unattractive"
11,5436,"one_slider",13,"Kathleen",0.32,"educated","most educated","morphological","neg_positive","not educated","person","female",0,"most uneducated","uneducated"
11,4911,"one_slider",14,"Stephanie",0.54,"friendly","most friendly","morphological","neg_antonym","not unfriendly","person","female",0,"most unfriendly","unfriendly"
11,4086,"one_slider",15,"Lee",0.63,"polite","most polite","morphological","positive","polite","person","male",0,"most impolite","impolite"
11,3478,"one_slider",16,"Veronica",0.35,"wise","most wise","lexical","neg_positive","not wise","person","female",0,"most foolish","foolish"
12,11192,"one_slider",1,"Greg",0.32,"attractive","most attractive","morphological","antonym","unattractive","person","male",0,"most unattractive","unattractive"
12,6685,"one_slider",2,"Laura",0.71,"tall","tallest","lexical","neg_antonym","not short","person","female",1,"shortest","short"
12,5390,"one_slider",3,"Alexander",0.81,"hard-working","most hard-working","lexical","positive","hard-working","person","male",0,"most lazy","lazy"
12,3405,"one_slider",4,"Gabriel",0.06,"educated","most educated","morphological","neg_positive","not educated","person","male",0,"most uneducated","uneducated"
12,4225,"one_slider",5,"Kathleen",0.85,"friendly","most friendly","morphological","neg_antonym","not unfriendly","person","female",0,"most unfriendly","unfriendly"
12,4225,"one_slider",6,"William",0.06,"interesting","most interesting","morphological","neg_positive","not interesting","person","male",0,"most uninteresting","uninteresting"
12,4031,"one_slider",7,"Michelle",0.09,"loud","most loud","lexical","antonym","quiet","person","female",0,"most quiet","quiet"
12,3499,"one_slider",8,"David",0.11,"brave","most brave","lexical","antonym","cowardly","person","male",0,"most cowardly","cowardly"
12,3920,"one_slider",9,"Eric",0.88,"happy","happiest","morphological","positive","happy","person","male",1,"unhappiest","unhappy"
12,6483,"one_slider",10,"Anthony",0.03,"proud","most proud","lexical","neg_positive","not proud","person","male",0,"most humble","humble"
12,3421,"one_slider",11,"Tom",0.98,"successful","most successful","morphological","positive","successful","person","male",0,"most unsuccessful","unsuccessful"
12,3999,"one_slider",12,"Monica",0.6,"fat","fattest","lexical","neg_antonym","not skinny","person","female",1,"skinniest","skinny"
12,4866,"one_slider",13,"John",0.1,"polite","most polite","morphological","antonym","impolite","person","male",0,"most impolite","impolite"
12,3422,"one_slider",14,"Alicia",0.66,"beautiful","most beautiful","lexical","positive","beautiful","person","female",0,"most ugly","ugly"
12,3992,"one_slider",15,"Kim",0.19,"strong","strongest","lexical","neg_positive","not strong","person","female",1,"weakest","weak"
12,6490,"one_slider",16,"Daniel",0.78,"intelligent","most intelligent","morphological","neg_antonym","not unintelligent","person","male",0,"most unintelligent","unintelligent"
13,5511,"one_slider",1,"Daniel",0.77,"successful","most successful","morphological","neg_antonym","not unsuccessful","person","male",0,"most unsuccessful","unsuccessful"
13,3100,"one_slider",2,"David",0.69,"fat","fattest","lexical","positive","fat","person","male",1,"skinniest","skinny"
13,2023,"one_slider",3,"Greg",0.74,"brave","most brave","lexical","positive","brave","person","male",0,"most cowardly","cowardly"
13,2675,"one_slider",4,"Stephanie",0.74,"tall","tallest","lexical","neg_antonym","not short","person","female",1,"shortest","short"
13,4368,"one_slider",5,"Alexander",0.73,"friendly","most friendly","morphological","neg_antonym","not unfriendly","person","male",0,"most unfriendly","unfriendly"
13,2302,"one_slider",6,"Sophia",0.74,"intelligent","most intelligent","morphological","positive","intelligent","person","female",0,"most unintelligent","unintelligent"
13,3292,"one_slider",7,"Lucas",0.23,"happy","happiest","morphological","neg_positive","not happy","person","male",1,"unhappiest","unhappy"
13,2206,"one_slider",8,"Michael",0.24,"educated","most educated","morphological","neg_positive","not educated","person","male",0,"most uneducated","uneducated"
13,2308,"one_slider",9,"Claire",0.27,"loud","most loud","lexical","neg_positive","not loud","person","female",0,"most quiet","quiet"
13,2250,"one_slider",10,"Monica",0.26,"strong","strongest","lexical","neg_positive","not strong","person","female",1,"weakest","weak"
13,2996,"one_slider",11,"Veronica",0.25,"interesting","most interesting","morphological","antonym","uninteresting","person","female",0,"most uninteresting","uninteresting"
13,2734,"one_slider",12,"Kathleen",0.29,"polite","most polite","morphological","antonym","impolite","person","female",0,"most impolite","impolite"
13,1988,"one_slider",13,"John",0.7,"attractive","most attractive","morphological","positive","attractive","person","male",0,"most unattractive","unattractive"
