workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,condition
48,english,1,Male,43,,NA,Yes,0.45,3,implicit
49,English,2,Male,30,,NA,No,.40,3,implicit
50,English,2,Female,62,,NA,Yes,.40,3,implicit
51,English,1,Female,28,no,NA,No,45,2,implicit
52,english,1,Female,34,,NA,Yes,0.50,2,implicit
53,eNGLISH,1,Female,56,NO,NA,No,.50,0,implicit
54,English,1,Female,25,,,Yes,.50,4,implicit
55,English,1,Female,32,n/a,n/a,Yes,.40,2,implicit
56,English,2,Male,21,No,,Yes,Yes,3,implicit
57,English,2,Female,44,None,"I enjoyed taking part, thank you.",Yes,.40,2,implicit
58,english,2,Male,27,no,,Yes,.5,3,implicit
59,english,1,Female,30,no,,Yes,.40,4,implicit
60,ENGLISH,1,Female,44,NO,It was easy and interesting,Yes,2.00,3,implicit
61,English,1,Male,26,No.,,Yes,0.50,1,implicit
62,"English, Vietnamese",2,Female,22,no,,Yes,.4,3,implicit
63,English,2,Female,71,no problems,very interesting study,Yes,.50,2,implicit
64,english,1,Female,39,,,Yes,,1,implicit
65,english,2,Female,55,no,thanx,Yes,perception?,1,implicit
66,English,2,Male,67,None,None,Yes,40,2,implicit
67,english,1,Female,64,no,,Yes,75,2,implicit
68,English,1,Female,69,no,,Yes,.50,3,implicit
69,English,1,Female,54,no,,Yes,yes,3,implicit
70,English,2,Male,30,No.,Maybe use radios instead of sliders?,Yes,0.20,1,implicit
71,English,2,Male,51,No.,Were you trying to determine if we interpret negative things more negatively than we interpret positive things positively?,Yes,0.20,4,implicit
72,English,1,Male,28,no,,Yes,.40,2,implicit
73,engish,2,Male,31,no,thanks,Yes,.40,2,implicit
74,English,1,Male,27,No,,Yes,.45,3,implicit
75,English,1,Female,42,no,Easy and straightforward HIT.,Yes,yes,2,implicit
76,english,1,Female,45,no,no,Yes,yes,2,implicit
77,English,2,Female,26,No,,Yes,0.40,2,implicit
78,ENGLISE,1,Female,59,no,,Yes,.25,1,implicit
79,English,1,Male,28,,,Yes,yes,3,implicit
80,English,1,Female,21,N/A,,Yes,0.5,2,implicit
81,English,1,Female,49,,,Yes,.50,2,implicit
82,English,2,Female,55,no,no comments,Yes,60 cents,3,implicit
83,english,2,Female,26,No,none,Yes,.40,2,implicit
84,English,2,Female,37,No.,,Yes,$0.40,2,implicit
85,English,1,Male,34,n/a,thanks!,Yes,0.50,3,implicit
86,English,2,Male,52,no,Easy enough...,Yes,.40,4,implicit
87,English,2,Female,44,No...thanks!,Thanks! Fun hit...,Yes,.35,3,implicit
88,English,1,Male,24,No,,Yes,.4,3,implicit
89,English,1,Female,39,,,No,.40,4,implicit
90,English,1,Male,57,No problems noted. ,,Yes,.40,3,implicit
91,English,2,Female,23,No,,Yes,.50,1,implicit
92,English,2,Female,29,no,,Yes,yes,2,implicit
93,english,2,Male,43,no,,Yes,.45,3,implicit
94,English,2,Female,60,no,,Yes,40,1,implicit
95,english,2,Female,NA,no,,No,.40,1,implicit
96,ENGLISH,1,Male,38,NO,,Yes,75 CENTS,3,implicit
97,English,1,Female,36,none,,Yes,yes,3,implicit
98,English,2,Male,23,None at all,Overall decent questions and excellent HIT,Yes,.40,2,implicit
99,English,2,Female,19,No,,Yes,40 cents,2,implicit
100,English,1,Female,28,No,,Yes,.50,3,implicit
101,English ,1,Female,30,no,,Yes,.50,2,implicit
102,english,2,Female,56,no,interesting,Yes,.60,3,implicit
103,english,2,Female,33,,,Yes,.50,2,implicit
104,English,1,Male,50,no,,Yes,yes,2,implicit
105,English,2,Female,36,,,Yes,.40,3,implicit
106,English,1,Male,43,none,,Yes,.40,3,implicit
107,english,1,Female,39,no,,Yes,.50,3,implicit
108,English,2,Male,31,No,NA,Yes,.25,3,implicit
109,English,1,Female,22,NO,,Yes,.40,2,implicit
110,English,2,Male,33,No.,,Yes,Yes,2,implicit
111,English,2,Female,21,No problems or bugs that I encountered,"Interesting thought experiment. At first thought it would be easy to just throw the bar on whatever  side seemed fitting based on the statement, but I realized I had to think how that person would be relatively to all other people in the world. ",Yes,0.40,1,implicit
112,English,2,Female,49,no,It was easy and quick.,Yes,45,3,implicit
113,English,1,Male,34,no,,Yes,.50,3,implicit
114,English,2,Female,31,No,,Yes,.40,3,implicit
115,English,2,Male,21,no,-,Yes,yes.,2,implicit
116,ENGLISH,1,Female,43,no,,Yes,.40,3,implicit
117,English,2,Male,23,No,,Yes,.40,3,implicit
118,English,1,Male,26,,,Yes,$0.65,3,implicit
119,english,2,Female,40,no,,Yes,40,4,implicit
120,English,1,Male,58,no,none,Yes,.50,3,implicit
121,English,2,Female,47,no,I loved this - interesting to rate double negative vs a positive statement,Yes,.40,3,implicit
122,English,2,Female,23,N/A,Thank you for the opportunity!,Yes,.30,3,implicit
123,American English,1,Male,36,no,none,Yes,.50,4,implicit
124,English,2,Male,23,,,Yes,.40,3,implicit
125,English,2,Female,36,none,,Yes,.30,2,implicit
126,english,2,Male,42,no,,No,.40,3,implicit
127,English,2,Male,32,,,Yes,.50,3,implicit
128,English,1,Male,31,I do not think so.,,Yes,.25,1,implicit
129,english,1,Male,40,,,Yes,,4,implicit
130,Emglish,2,Male,45,none,,Yes,.4,3,implicit
131,English,2,Male,30,Nope!,"Very good, thanks!",Yes,40 cents is fine,1,implicit
132,english,2,Male,62,none,ty that was enjoyable ,Yes,.40,2,implicit
133,english,2,Male,23,,,Confused,.25,3,implicit
134,English,2,Male,35,No,,Yes,40 cents,2,implicit
135,English ,1,Female,29,No,,Yes,.40,2,implicit
136,English,2,Male,23,,,Yes,.50,2,implicit
137,English ,2,Female,35,No,,Yes,.40,1,implicit
138,English,1,Male,27,No.,,Yes,0.50,3,implicit
139,,-1,,NA,,,NA,,-1,implicit
140,english,1,Male,54,no,none now,Yes,yes,4,implicit
141,English,2,Male,38,The experiment seemed very qualitative.,,Yes,1.00,3,implicit
142,English,2,Male,22,No,,Yes,$0.50,3,implicit
143,english,2,Male,51,,,Yes,.50,2,implicit
144,english ,1,Male,30,no there where not,,Yes,.30,4,implicit
145,English,2,Female,49,No,,Yes,Good,3,implicit
146,English,1,Female,65,No,"With minimal information about the people, it was hard to rate them.",Yes,.20,4,implicit
147,english,2,Male,33,no,thanks,Yes,.50,4,implicit
148,English,1,Female,42,No,,Yes,.45,3,implicit
149,english,1,Male,33,,,Yes,yes,3,implicit
150,English,1,Female,41,No,,Yes,yes,4,implicit
151,English,2,Male,55,No,,Yes,.50,2,implicit
152,English,2,Female,59,,,Yes,.40,2,implicit
153,English,1,Female,35,No,,Yes,0.40,3,implicit
154,English,1,Male,46,No,,Yes,.75,3,implicit
155,english,2,Male,31,no,,Yes,.40,3,implicit
156,english,1,Male,53,,,Yes,.40,0,implicit
157,English,2,Female,59,No,,Yes,yes,2,implicit
158,English,2,Female,38,None at all!,Very interesting!  Thank  you!,Yes,20,3,implicit
159,English,1,Male,27,no,no,Yes,.55,2,implicit
160,English,2,Female,32,no,,Yes,.40,3,implicit
161,English,1,Female,55,No.,Thank you and good luck with your research!,Yes,.50,3,implicit
162,english,1,Female,40,no,NA,Yes,.40,2,implicit
163,English,1,Male,25,,NA,Yes,.70,3,implicit
164,English,1,Male,52,No,NA,Yes,.50,3,implicit
165,englih,1,Male,33,,NA,No,8 dollars,3,implicit
166,English,2,Male,31,No,NA,Yes,.20,1,implicit
167,English,1,Female,54,Not until I tried to fill in the price for the fair work,NA,Yes,,2,implicit
168,English,1,Female,31,no,NA,Yes,0.40,2,implicit
169,English,2,Male,28,,NA,Yes,$.40,4,implicit
170,English,1,Female,61,No,NA,Yes,.40,3,implicit
171,english,1,Female,32,no,NA,Yes,50,1,implicit
172,ENGLISH,1,Female,37,NO,NA,Yes,.40,3,implicit
173,english ,1,Male,37,no,NA,Yes,.50,2,implicit
174,English,1,Male,37,,NA,Yes,.15,1,implicit
175,English,2,Male,41,Not that I noticed.,NA,Yes,.40,3,implicit
176,English,1,Male,62,No,NA,Yes,.50,2,implicit
177,English,2,Female,27,no,NA,Yes,sure,-1,implicit
178,English,1,Female,40,None,NA,Yes,.50,2,implicit
179,English,2,Male,30,No,NA,Yes,.40,3,implicit
180,,-1,,NA,,,NA,NA,-1,implicit
181,English,2,Male,20,no,,Yes,0.5,2,implicit
182,english,1,Female,55,no,,Yes,1,2,implicit
183,English,1,Male,26,No,,Yes,0.45,3,implicit
184,English ,1,Female,44,No,,Yes,0.5,4,implicit
185,English,1,Male,42,no,,No,NA,4,implicit
186,english,1,Female,40,,,Yes,0.5,1,implicit
187,english,1,Female,56,no,,Yes,NA,3,implicit
188,English,1,Male,35,No.,Thanks for the opportunity!,Yes,NA,2,implicit
189,English ,1,Female,27,,,Yes,,3,implicit
190,english,2,Male,38,,,Yes,.4,4,implicit
191,english,2,Female,27,no,,Yes,yes,3,implicit
192,English,1,Female,42,no,,Yes,.40,4,implicit
193,English,2,Female,37,no,,Yes,.40,3,implicit
194,English,1,Female,23,No,,Yes,0.40,3,implicit
195,English,1,Female,63,none,none,Yes,.50,1,implicit
196,English,1,Female,44,"No, there were no problems.","I like to give most people a chance, and will not judge them until I have a personal experience with them. To label someone as most ""blank"" person in the world would be a bit harsh. I tried to be fair. Thank you for sharing my opinions and good luck with your survey.",Yes,.25,2,implicit
197,English,2,Male,46,no,It kept me on my toes carefully reading the words to make sure I was understanding them all correctly.,Yes,.40,2,implicit
198,English,1,Female,42,no,,Yes,NA,3,implicit
199,english,1,Female,56,no,,Yes,50,3,implicit
200,English,2,Female,56,no,,Yes,NA,4,implicit
201,English,2,Female,43,no,,Yes,NA,2,implicit
202,English,-1,Male,36,,,Yes,NA,3,implicit
203,English and Cantonese,2,Female,30,,,Yes,NA,3,implicit
204,english,1,Female,25,no,,Yes,NA,3,implicit
205,English,2,Female,61,no,,Yes,NA,2,implicit
206,English,2,Female,55,,"This was a great hit, thank you for providing it",Yes,NA,3,implicit
207,english,1,Female,33,,,Yes,.50,2,implicit
208,English,2,Male,40,No.,Thank you so much for allowing me to participate in your study.,Yes,Yes,3,implicit
209,English,2,Male,60,No,All good. Interesting.,Yes,.40,3,implicit
210,English,2,Female,27,No,,Yes,0.75,2,implicit
211,english,1,Female,47,no,I don&quotechart have any comments.,Yes,.50,2,implicit
212,English,1,Female,54,No,Its difficult to answer questions about people fairly that you haven&quotechart met.,Yes,$0.40,2,implicit
213,English,2,Female,63,No,Good luck with your study!,Yes,Yes,3,implicit
214,English,2,Female,35,None.,"It felt like a game, it&quotechars more fun than work.",Yes,0.40,3,implicit
215,english,1,Female,44,no,,Yes,.40,3,implicit
216,English,1,Male,53,None,None,Yes,0.40,3,implicit
217,english,2,Male,66,no,,Yes,0.40,4,implicit
218,English ,2,Female,39,No problems encountered ,,Yes,.50,3,implicit
219,English,2,Male,57,No,,Yes,.40,3,implicit
220,English,1,Male,33,Nope,,No,$0.41,4,implicit
221,English,1,Female,41,no,,Yes,0.40,4,implicit
222,English,1,Female,22,,,Yes,yes,2,implicit
223,English,1,Female,63,no,none,Yes,yes,3,implicit
224,English,1,Female,34,No,,Yes,.3,3,implicit
225,english,1,Male,38,no,,Yes,.40,2,implicit
226,English,2,Female,25,no,none,Yes,.40,3,implicit
227,English,2,Female,23,No,,Yes,.40,2,implicit
228,english,2,Male,53,no,,Yes,yes,2,implicit
229,English,1,Male,20,,,Yes,$2,2,implicit
230,English,1,Female,50,no problems,"As I was deciding for each quality, my thought was that each would have to be relative to the amount that my friend possessed each quality.",Yes,0.40,3,implicit
231,English,1,Female,51,none,Good luck!,Yes,.40,3,implicit
232,english,1,Female,31,There were no problems,,Yes,.40,3,implicit
233,english,1,Male,29,,,Yes,.40,2,implicit
234,English,1,Male,18,No problems,No comments.,Yes,.25,2,implicit
235,English,2,Female,38,no,My rankings of the individuals was based on thinking about my friends in particular and their judgments.,Yes,.50,4,implicit
236,English,1,Male,21,No,Interesting in a way.  Not really sure how to answer the questions without feeling conflicted.,NA,0.50,2,implicit
237,English,2,Female,27,no,,Yes,20c,3,implicit
238,english,1,Female,34,,,Confused,yes,2,implicit
239,,-1,Female,NA,,,NA,,-1,implicit
240,English,1,Female,29,no,,Yes,yes,3,implicit
241,English,1,Female,43,No,,Yes,Yes,3,implicit
242,English,1,Female,32,No,,Yes,0.50,4,implicit
243,Kannada,1,Male,18,,,Yes,.5,2,implicit
244,English,2,Female,45,no,,Yes,yes,3,implicit
245,english,2,Female,31,no issues experienced,was pretty cool and easy to complete. ,Yes,absolutely,3,implicit
246,english,2,Female,35,no,,Yes,.60,4,implicit
247,English,1,Male,56,no,,Yes,.50,3,implicit
248,Korean,1,Female,43,"No, it went smoothly.",,Yes,0.50,3,implicit
249,English,2,Female,21,no,,Yes,$0.40,3,implicit
250,English,1,Female,32,None,,Yes,.50,3,implicit
251,english,2,Female,40,no,,Yes,.40,3,implicit
252,English,1,Male,34,No,NA,Yes,.40,3,implicit
253,Vietnamese,2,Male,18,no,,Yes,0.10,2,implicit
254,English,2,Female,52,,,Yes,.40,4,implicit
255,English ,2,Male,34,No. ,Thanks! ,Yes,.15,4,implicit
256,English,2,Male,50,no,very interesting concept,Yes,.50,2,implicit
257,english,2,Female,39,no,,Yes,.50,3,implicit
258,english,1,Female,31,no,,Yes,.40,3,implicit
259,english,1,Female,32,no,,Yes,yes,3,implicit
260,English,2,Female,42,No,No comment.,Yes,"Yes, thank you.",3,implicit
261,English,2,Female,26,No,Experiment was easy to understand and quick. ,Yes,$0.50,3,implicit
262,Bulgarian,2,Male,28,No.,,Yes,0.40,3,implicit
263,ENGISH,2,Female,56,,,Yes,.40,3,implicit
264,english,1,Female,44,,,Yes,.50,2,implicit
265,english,1,Female,34,no,,Yes,fair,3,implicit
266,English,1,Male,34,,"Not clear what level of friendship is implied. Also, the scale is pretty extreme",Yes,.25,4,implicit
267,English,1,Male,46,None.,,Yes,.50,2,implicit
268,English,1,Female,25,No,,Yes,$.40,2,implicit
269,English,2,Male,28,No issues at all.,Very interesting.,Yes,.50,3,implicit
270,english,1,Female,27,,,Yes,.40,2,implicit
271,English,2,Female,27,,,Yes,.40,3,implicit
272,English,2,Female,52,"No, it was very well understood ",I thought it was really interesting and mind challenging ,Yes,.75,2,implicit
273,English,1,Female,25,Nope!,I thought it was an interesting concept. I would like to know what you were trying to study in further detail.,Yes,0.75,2,implicit
274,English,2,Male,61,no,this was not uninteresting,Yes,.50,3,implicit
275,English,2,Male,49,no,,Yes,yes,4,implicit
276,english,1,Male,36,none,,Yes,.50,1,implicit
277,English,2,Male,35,"No, thank you.","It was great, thank you.  ",Yes,Yes,3,implicit
278,English,2,Female,47,No,Thank you!Hope my answers helped.,Yes,yes,2,implicit
279,english,2,Male,24,,Very short and fun survey! thanks.,Yes,0.40,3,implicit
280,English ,2,Female,39,No,,Yes,.5,4,implicit
281,,-1,Female,NA,,,Yes,,-1,implicit
282,english,2,Male,43,no,,Yes,yes,2,implicit
283,english,1,Male,37,no,,Yes,.50,2,implicit
284,English,2,Male,21,,,Yes,.40,3,implicit
285,english,2,Male,54,none,,Yes,25,4,implicit
286,english,1,Female,58,no,,Yes,,2,implicit
287,English,1,Female,34,no,,Yes,yes,3,implicit
288,English,2,Male,67,,,Yes,yes,3,implicit
289,English,2,Female,29,No,,Yes,Yes,3,implicit
290,english,1,Female,43,no,,Yes,,3,implicit
291,English,1,Male,27,nope,,No,.50,3,implicit
292,English,1,Female,54,none,Thank You,Yes,.40,1,implicit
293,English,2,Male,37,No.,Good luck with your research. Thanks!,Yes,.50,2,implicit
294,English,1,Male,36,No,none,No,Yes,3,implicit
295,English,2,Female,25,No,,Yes,Yes,3,implicit
296,English,2,Male,31,No.,Nothing in particular. Thank you for allowing me to participate.,Yes,30 cents,2,implicit
297, (American) English,2,Female,58,no,I took into account the fact that I was being told these things by the person&quotechars friend.,Yes,1,4,implicit
298,english,1,Male,48,,,Yes,NA,4,implicit
299,english,2,Male,61,none,"good hit, made me think quite a bit.",Yes,NA,3,implicit
300,Bachelor&quotechars degree,2,Female,32,,,Yes,,3,implicit
301,English,2,Male,24,None,,Yes,0.60,3,implicit
302,English,2,Male,47,no issues it all ran smoothly.,Some attributes are rarer than others which is how I sort of tried to guess where they might fall in comparison to everyone.,Yes,yes,2,implicit
303,English,1,Male,58,no,,Yes,yes,1,implicit
304,english,1,Female,31,no,,Yes,.50,3,implicit
305,english,1,Female,33,no,,Yes,.50,3,implicit
306,english,1,Male,36,none,none,Yes,.50,2,implicit
307,English,2,Female,41,None,,Yes,0.40,3,implicit
308,english,1,Female,58,no,,Yes,.25,1,implicit
309,english,1,Male,36,,,Yes,.40,4,implicit
310,English,2,Female,58,no,,Yes,100,3,implicit
311,English,1,Male,23,no,,Yes,0.40,3,implicit
312,English,2,Female,39,,,Yes,.40,3,implicit
313,English,2,Female,44,No,,Yes,.40,3,implicit
314,English,-1,Female,28,,,Yes,.50,2,implicit
315,,2,,NA,no,,Yes,,3,implicit
316,english,0,Female,45,none,I would rather judge a person myself than judge someone by another&quotechars opinion. ,Yes,`.40,2,implicit
317,english,2,Male,21,no,,Yes,.50,3,implicit
318,English,1,Male,48,No,None,Yes,0.30,3,implicit
319,English,2,Female,35,,,Yes,.40,2,implicit
320,English,2,Female,30,,,Yes,$0.75,3,implicit
321,English,2,Female,30,Everything worked accordingly. Thank you,none,Yes,0.45,3,implicit
322,ENGLISH,2,Female,24,,,Yes,0.40,3,implicit
323,English,1,Female,51,,,Yes,40,3,implicit
324,English,1,Female,25,no,,No,.50,2,implicit
325,English ,2,Male,24,Nope,Decent hit,Yes,.40,1,implicit
326,,1,,NA,,,No,,-1,implicit
327,English,2,Male,29,No,,Yes,.50,3,implicit
328,english,1,Male,38,none,cool beans,Yes,1,3,implicit
329,english,2,Female,31,no,,Yes,yes,3,implicit
330,English,2,Male,54,I didn&quotechart have any problems,,Yes,.40,-1,implicit
331,English ,1,Male,53,Not at all ,Easy,Yes,.4,3,implicit
332,English,2,Male,22,no,,Yes,.40,1,implicit
333,english,2,Female,22,no ,hope my feedback was helpful.,Yes,.40,2,implicit
334,American English,2,Male,33,None at all.,"This was an interesting hit and I have not taken one with this type of setup, I enjoyed it a lot. Also I would predict that by adding a negative before the description of a person (such as, X person is NOT educated), people will be more likely to &quotecharcut them some slack&quotechar and try to not rate them as being &quotecharthe most uneducated person in the world&quotechar.",Yes,$0.50,1,implicit
335,English,1,Male,45,,,Yes,.40,3,implicit
336,English,2,Male,32,No,"Very well done, thank you!",Yes,0.40,4,implicit
337,English,2,Female,24,no,Would be interested to know throughout this experiment how trustworthy you view the friend telling you these things.,Yes,yes,3,implicit
338,English,2,Male,30,No issues or problems,,Yes,.50,3,implicit
339,English,2,Male,32,no,,Yes,.40,3,implicit
340,english,1,Female,58,no,,Yes,,1,implicit
341,English,2,Female,51,no,,Yes,$10.00,4,implicit
342,English,2,Female,56,No,,Yes,40,4,implicit
343,English,2,Male,51,no,good HIT,Yes,yes,2,implicit
344,english,2,Male,35,,,Yes,.40,2,implicit
345,english,1,Female,25,,,Yes,0.50,2,implicit
346,English,2,Female,19,,,Yes,0.25-0.40,1,implicit
347,English,1,Male,28,,,Yes,.40,2,implicit
348,English,1,Female,45,no,,Yes,40,4,implicit
349,english,2,Female,65,no,,Yes,.40,3,implicit
350,English,1,Male,33,non,,Yes,.40,2,implicit
351,English,2,Male,25,,,No,.40,1,implicit
352,English,2,Male,30,No,It was an interesting survey.,Yes,.40,3,implicit
353,English,1,Female,54,no,,Yes,.40,2,implicit
354,English,2,Female,32,No,,Yes,Yes,0,implicit
355,English,1,Male,26,no,Thanks,Yes,.40,2,implicit
356,ENGLISH,1,Male,50,no,,Yes,.50,2,implicit
357,engilish,1,Male,36,,,Yes,1.00,3,implicit
358,English,2,Male,45,,,Yes,,3,implicit
359,english,2,Female,22,no,,Yes,yes,2,implicit
360,Russian,1,Female,28,No,No comments.,No,0.50,3,implicit
361,english,2,Male,21,no,,Yes,yes,2,implicit
362,english,1,Female,42,,it was a very simple hit,Yes,.40,1,implicit
363,English,1,Male,22,,,Yes,.40,3,implicit
364,english,2,Female,25,no,,Yes,.40,4,implicit
365,english,2,Male,30,no,,No,.40,1,implicit
366,English,2,Female,60,No,I like hits like these - like to think about things!,Yes,.40,2,implicit
367,English,1,Female,33,No,,Yes,.50,3,implicit
368,English,1,Male,35,No,,Yes,40 cents,4,implicit
369,English ,2,Female,58,No,"Some of the descriptions would make me, as a human being, not rate the person great. For instance, ""Laura is not crazy""--I need context! Is it because Laura is acting crazy? Is she espousing a wild conspiracy theory? Is it followed by, ""But I can see how you get that impression""?",Yes,.50,3,implicit
370,English,2,Female,45,No.,Thanks!,Yes,.40,2,implicit
371,english,2,Male,26,no,,Yes,.50,4,implicit
372,English,2,Female,30,none,none,Yes,.40,3,implicit
373,English,1,Female,43,No,No comments.,Yes,0.4,3,implicit
374,English,2,Male,25,,,Yes,.40,3,implicit
375,english,2,Female,53,no everything was fine,It was interesting to think about how someone might percieve someone they never met,Yes,0.01,2,implicit
376,english,1,Female,48,no,none,Yes,.50,3,implicit
377,English,2,Male,52,No problems.,Thank you.,Yes,,3,implicit
378,English,2,Male,35,No,No coment,Yes,.40,3,implicit
379,English,1,Female,49,No,Right after I accepted this another popped up for .80. I had not even answered one question on this so decided to do the .80 one instead but I was not allowed. Was curious if there were more questions on the other one or you are trying to figure out fair pay. Thanks!,Yes,.50,2,implicit
380,English ,2,Female,36,,,Yes,Yes,3,implicit
381,English,1,Female,37,no,,Yes,NA,3,implicit
382,English,2,Female,29,None,,Yes,0.5,3,implicit
383,english,2,Female,25,no,none,Yes,0.4,3,implicit
384,english,2,Male,42,none,,Yes,0.45,2,implicit
385,english,1,Male,44,no,Most of the answers were the same some key words  made a little difference like attractive and crazy . those are in the eye of the beholder . but you usually believe a friend,Yes,NA,2,implicit
386,Arabic,2,Female,36,no,,Yes,NA,3,implicit
387,English,2,Male,30,No,Good luck with your research :),Yes,1,3,implicit
388,English,1,Male,26,,,Yes,50,3,implicit
389,English,2,Female,34,,,Yes,0.4,2,implicit
390,English,2,Female,27,,Very interesting to think about!,Yes,.45,3,implicit
391,English,1,Female,40,,,Yes,.4,4,implicit
392,English,2,Female,30,No,,Yes,.45,4,implicit
393,estonian,1,Female,32,,interesting survey,Yes,$.40,2,implicit
394,English,2,Female,35,NO,This is an interesting hit! Very fun and easy.,Yes,0.40,4,implicit
395,English,2,Male,45,,,Yes,.25,4,implicit
396,English,2,Male,21,None at all.,,Yes,.40,2,implicit
397,English,2,Male,33,,,Yes,.30,3,implicit
398,English,2,Male,28,no,,Yes,.40,3,implicit
399,,-1,,NA,,,NA,NA,-1,implicit
400,English,2,Male,33,,,Yes,0.4,3,implicit
401,English,2,Female,28,,,Yes,0.5,3,implicit
402,English,2,Female,24,No,The concept of human decision based off being told a single thing is interesting for sure.,Yes,0.4,2,implicit
403,English,2,Female,31,No,,Yes,0.5,2,implicit
404,english,2,Male,50,all good,Interesting! Have a nice day!,Yes,0.4,3,implicit
405,English,2,Female,34,No problems or bugs. ,,Yes,NA,2,implicit
406,English,2,Female,49,no,This was fun and easy. Thank you.,Yes,NA,2,implicit
407,english,2,Female,43,,,Yes,0.4,2,implicit
408,English,1,Male,27,No.,,Yes,0.40,3,implicit
409,English,2,Female,31,No problems or bugs.,Not applicable.,Yes,0.10,4,implicit
410,english,2,Male,33,no,,Yes,40,2,implicit
411,English,1,Male,68,none,,Yes,fair,2,implicit
412,English,1,Female,27,No,have a good day!,Yes,sure,3,implicit
413,,-1,,NA,,,NA,,-1,implicit
414,English,1,Female,27,no,,Yes,.5,3,implicit
415,english,1,Female,22,no,,Yes,1.00,3,implicit
416,English,1,Male,46,No,No comment. Pretty straight forward.,Yes,.40,2,implicit
417,english,1,Male,40,no,"good hit, thanks",Yes,.50,3,implicit
418,english,2,Female,39,none,great HIT,Yes,.40,3,implicit
419,english,1,Female,39,no,,Yes,.75,2,implicit
420,"English, Italian, Spanish",1,Female,24,no,,Yes,.40,4,implicit
421,English,1,Female,50,no,,Yes,yes,2,implicit
422,english,1,Male,44,,,Yes,.4,3,implicit
423,English,2,Male,21,None,,Yes,.50,2,implicit
424,English,2,Female,30,no,,Yes,.40,2,implicit
425,English,2,Male,30,,Interesting and easy to understand,No,.40,2,implicit
426,Chinese and English,1,Female,20,No,,Yes,0.4,2,implicit
427,english,2,Male,21,,,Yes,0.4,2,implicit
428,English,2,Female,20,None,,Yes,0.4,2,implicit
429,English,2,Male,55,none,none,Yes,0.4,3,implicit
