"workerid","rt","trial_type","trial_num","name","positive","negation","sentence_type","adjective","referent","gender","response","antonym"
4,2943,"one_slider",27,"Monica","brave","lexical","neg_positive","not brave","person","female",0.27,"cowardly"
4,4231,"one_slider",28,"Sophia","educated","morphological","neg_antonym","not uneducated","person","female",0.61,"uneducated"
4,4232,"one_slider",29,"Alicia","tolerant","morphological","antonym","intolerant","person","female",0.18,"intolerant"
4,2711,"one_slider",30,"Gabriel","tall","lexical","neither_pos_nor_ant","neither tall nor short","person","male",0.52,"short"
5,9514,"one_slider",1,"Melinda","successful","morphological","positive","successful","person","female",0.76,"unsuccessful"
5,5351,"one_slider",2,"Claire","friendly","morphological","antonym","unfriendly","person","female",0.17,"unfriendly"
5,4982,"one_slider",3,"Cameron","old","lexical","neg_antonym","not young","person","male",0.71,"young"
5,5003,"one_slider",4,"Stephanie","moral","morphological","neither_pos_nor_ant","neither moral nor immoral","person","female",0.5,"immoral"
5,3881,"one_slider",5,"Sophia","tolerant","morphological","neg_antonym","not intolerant","person","female",0.75,"intolerant"
5,3398,"one_slider",6,"Maya","friendly","morphological","neg_antonym","not unfriendly","person","female",0.76,"unfriendly"
5,2415,"one_slider",7,"Daniel","successful","morphological","antonym","unsuccessful","person","male",0.74,"unsuccessful"
5,4116,"one_slider",8,"Kathleen","tall","lexical","neg_positive","not tall","person","female",0.28,"short"
5,3645,"one_slider",9,"Lee","hard-working","lexical","neg_positive","not hard-working","person","male",0.37,"lazy"
5,4480,"one_slider",10,"Michael","honest","morphological","neither_pos_nor_ant","neither honest nor dishonest","person","male",0.49,"dishonest"
5,4036,"one_slider",11,"Anthony","friendly","morphological","neither_pos_nor_ant","neither friendly nor unfriendly","person","male",0.48,"unfriendly"
5,4095,"one_slider",12,"Stephen","educated","morphological","positive","educated","person","male",0.98,"uneducated"
5,3137,"one_slider",13,"Alicia","moral","morphological","neg_antonym","not immoral","person","female",0.81,"immoral"
5,3425,"one_slider",14,"Kim","educated","morphological","neg_antonym","not uneducated","person","female",0.84,"uneducated"
5,2836,"one_slider",15,"Angela","tall","lexical","neither_pos_nor_ant","neither tall nor short","person","female",0.5,"short"
5,2742,"one_slider",16,"David","old","lexical","neg_positive","not old","person","male",0.24,"young"
5,3850,"one_slider",17,"Lucas","tolerant","morphological","neg_positive","not tolerant","person","male",0.26,"intolerant"
5,2322,"one_slider",18,"William","successful","morphological","neg_positive","not successful","person","male",0.22,"unsuccessful"
5,2314,"one_slider",19,"Jennifer","friendly","morphological","neg_positive","not friendly","person","female",0.19,"unfriendly"
5,3379,"one_slider",20,"Alexander","hard-working","lexical","antonym","lazy","person","male",0,"lazy"
5,3670,"one_slider",21,"Julia","tolerant","morphological","positive","tolerant","person","female",1,"intolerant"
5,2739,"one_slider",22,"Tom","brave","lexical","antonym","cowardly","person","male",0.01,"cowardly"
5,4092,"one_slider",23,"Greg","honest","morphological","positive","honest","person","male",0.99,"dishonest"
5,2652,"one_slider",24,"Monica","educated","morphological","neg_positive","not educated","person","female",0.18,"uneducated"
5,4039,"one_slider",25,"Eric","honest","morphological","antonym","dishonest","person","male",0.01,"dishonest"
5,4092,"one_slider",26,"Veronica","old","lexical","antonym","young","person","female",0,"young"
5,2651,"one_slider",27,"Gabriel","educated","morphological","neither_pos_nor_ant","neither educated nor uneducated","person","male",0.49,"uneducated"
5,4486,"one_slider",28,"John","rich","lexical","neither_pos_nor_ant","neither rich nor poor","person","male",0.5,"poor"
5,2391,"one_slider",29,"Michelle","tall","lexical","antonym","short","person","female",0.2,"short"
5,3280,"one_slider",30,"Laura","tolerant","morphological","neither_pos_nor_ant","neither tolerant nor intolerant","person","female",0.51,"intolerant"
6,4150,"one_slider",1,"Anthony","honest","morphological","neither_pos_nor_ant","neither honest nor dishonest","person","male",0.47,"dishonest"
6,2546,"one_slider",2,"Alexander","moral","morphological","antonym","immoral","person","male",0,"immoral"
6,2783,"one_slider",3,"Cameron","tolerant","morphological","antonym","intolerant","person","male",0.22,"intolerant"
6,1944,"one_slider",4,"Eric","educated","morphological","positive","educated","person","male",0.75,"uneducated"
6,3389,"one_slider",5,"Alicia","fat","lexical","neg_positive","not fat","person","female",0.12,"skinny"
6,2109,"one_slider",6,"Tom","friendly","morphological","neg_positive","not friendly","person","male",0.2,"unfriendly"
6,3924,"one_slider",7,"Gabriel","fat","lexical","antonym","skinny","person","male",0.03,"skinny"
6,1761,"one_slider",8,"Kathleen","tolerant","morphological","positive","tolerant","person","female",0.75,"intolerant"
6,2881,"one_slider",9,"Michael","tolerant","morphological","neg_positive","not tolerant","person","male",0.21,"intolerant"
6,2017,"one_slider",10,"Michelle","moral","morphological","positive","moral","person","female",0.88,"immoral"
6,3231,"one_slider",11,"Lucas","rich","lexical","positive","rich","person","male",1,"poor"
6,2798,"one_slider",12,"Stephanie","tall","lexical","neither_pos_nor_ant","neither tall nor short","person","female",0.51,"short"
6,4292,"one_slider",13,"Jennifer","moral","morphological","neither_pos_nor_ant","neither moral nor immoral","person","female",0.48,"immoral"
6,2048,"one_slider",14,"John","fat","lexical","neither_pos_nor_ant","neither fat nor skinny","person","male",0.47,"skinny"
6,1769,"one_slider",15,"Sophia","hard-working","lexical","neither_pos_nor_ant","neither hard-working nor lazy","person","female",0.43,"lazy"
6,3500,"one_slider",16,"Julia","fat","lexical","neg_antonym","not skinny","person","female",0.62,"skinny"
6,2221,"one_slider",17,"Laura","rich","lexical","neither_pos_nor_ant","neither rich nor poor","person","female",0.5,"poor"
6,2120,"one_slider",18,"Daniel","tall","lexical","positive","tall","person","male",0.77,"short"
6,2957,"one_slider",19,"Angela","tall","lexical","neg_antonym","not short","person","female",0.67,"short"
6,3554,"one_slider",20,"Veronica","friendly","morphological","positive","friendly","person","female",0.83,"unfriendly"
6,3162,"one_slider",21,"Maya","educated","morphological","neg_antonym","not uneducated","person","female",0.54,"uneducated"
6,4698,"one_slider",22,"Greg","brave","lexical","neg_antonym","not cowardly","person","male",0.56,"cowardly"
6,1871,"one_slider",23,"William","hard-working","lexical","neg_positive","not hard-working","person","male",0.34,"lazy"
6,7828,"one_slider",24,"Claire","successful","morphological","neg_positive","not successful","person","female",0.23,"unsuccessful"
6,3476,"one_slider",25,"Stephen","tolerant","morphological","neg_antonym","not intolerant","person","male",0.64,"intolerant"
6,2240,"one_slider",26,"Monica","tall","lexical","antonym","short","person","female",0.17,"short"
6,2237,"one_slider",27,"Lee","moral","morphological","neg_antonym","not immoral","person","male",0.58,"immoral"
6,2530,"one_slider",28,"Kim","successful","morphological","positive","successful","person","female",0.81,"unsuccessful"
6,2501,"one_slider",29,"Melinda","old","lexical","positive","old","person","female",0.7,"young"
6,2730,"one_slider",30,"David","hard-working","lexical","neg_antonym","not lazy","person","male",0.85,"lazy"
7,5743,"one_slider",1,"Lucas","old","lexical","neg_antonym","not young","person","male",0.51,"young"
7,1630,"one_slider",2,"Maya","tall","lexical","antonym","short","person","female",0.48,"short"
7,1588,"one_slider",3,"Laura","moral","morphological","neither_pos_nor_ant","neither moral nor immoral","person","female",0.47,"immoral"
7,2091,"one_slider",4,"Greg","fat","lexical","neither_pos_nor_ant","neither fat nor skinny","person","male",0.49,"skinny"
7,1755,"one_slider",5,"Veronica","successful","morphological","neither_pos_nor_ant","neither successful nor unsuccessful","person","female",0.43,"unsuccessful"
7,3182,"one_slider",6,"Kathleen","brave","lexical","neg_antonym","not cowardly","person","female",0.46,"cowardly"
7,4052,"one_slider",7,"Sophia","successful","morphological","positive","successful","person","female",0.47,"unsuccessful"
7,1423,"one_slider",8,"William","educated","morphological","neg_antonym","not uneducated","person","male",0.47,"uneducated"
7,1786,"one_slider",9,"Alexander","fat","lexical","antonym","skinny","person","male",0.5,"skinny"
7,1695,"one_slider",10,"Stephen","friendly","morphological","antonym","unfriendly","person","male",0.47,"unfriendly"
7,1349,"one_slider",11,"Tom","fat","lexical","neg_antonym","not skinny","person","male",0.48,"skinny"
7,3617,"one_slider",12,"David","tolerant","morphological","positive","tolerant","person","male",0.65,"intolerant"
7,2545,"one_slider",13,"John","educated","morphological","positive","educated","person","male",0.64,"uneducated"
7,1536,"one_slider",14,"Monica","hard-working","lexical","neither_pos_nor_ant","neither hard-working nor lazy","person","female",0.58,"lazy"
7,1989,"one_slider",15,"Eric","brave","lexical","positive","brave","person","male",0.49,"cowardly"
7,1347,"one_slider",16,"Kim","tall","lexical","neg_antonym","not short","person","female",0.5,"short"
7,2254,"one_slider",17,"Jennifer","hard-working","lexical","neg_antonym","not lazy","person","female",0.55,"lazy"
7,1396,"one_slider",18,"Claire","hard-working","lexical","positive","hard-working","person","female",0.57,"lazy"
7,3498,"one_slider",19,"Melinda","fat","lexical","positive","fat","person","female",0.49,"skinny"
7,1647,"one_slider",20,"Angela","rich","lexical","positive","rich","person","female",0.5,"poor"
7,1497,"one_slider",21,"Anthony","brave","lexical","neither_pos_nor_ant","neither brave nor cowardly","person","male",0.46,"cowardly"
7,1837,"one_slider",22,"Lee","successful","morphological","antonym","unsuccessful","person","male",0.54,"unsuccessful"
7,4839,"one_slider",23,"Daniel","educated","morphological","antonym","uneducated","person","male",0.47,"uneducated"
7,1312,"one_slider",24,"Gabriel","old","lexical","neg_positive","not old","person","male",0.48,"young"
7,1653,"one_slider",25,"Michelle","tall","lexical","neither_pos_nor_ant","neither tall nor short","person","female",0.46,"short"
7,1382,"one_slider",26,"Michael","old","lexical","neither_pos_nor_ant","neither old nor young","person","male",0.48,"young"
7,1316,"one_slider",27,"Julia","tall","lexical","neg_positive","not tall","person","female",0.51,"short"
7,1429,"one_slider",28,"Alicia","honest","morphological","positive","honest","person","female",0.47,"dishonest"
7,1234,"one_slider",29,"Cameron","honest","morphological","neg_antonym","not dishonest","person","male",0.47,"dishonest"
7,1360,"one_slider",30,"Stephanie","fat","lexical","neg_positive","not fat","person","female",0.55,"skinny"
8,39134,"one_slider",1,"Daniel","friendly","morphological","positive","friendly","person","male",0.92,"unfriendly"
8,2241,"one_slider",2,"Anthony","rich","lexical","neg_antonym","not poor","person","male",0.56,"poor"
8,1433,"one_slider",3,"Sophia","rich","lexical","positive","rich","person","female",0.94,"poor"
8,2227,"one_slider",4,"Stephanie","friendly","morphological","neg_positive","not friendly","person","female",0.19,"unfriendly"
8,19417,"one_slider",5,"Stephen","tall","lexical","neg_antonym","not short","person","male",0.66,"short"
8,39106,"one_slider",6,"William","moral","morphological","positive","moral","person","male",0.76,"immoral"
8,2740,"one_slider",7,"Tom","honest","morphological","neg_positive","not honest","person","male",0.13,"dishonest"
8,2967,"one_slider",8,"Julia","old","lexical","neg_positive","not old","person","female",0.33,"young"
8,2371,"one_slider",9,"David","honest","morphological","antonym","dishonest","person","male",0.22,"dishonest"
8,2075,"one_slider",10,"Lee","friendly","morphological","antonym","unfriendly","person","male",0.09,"unfriendly"
8,2858,"one_slider",11,"Michelle","moral","morphological","neg_positive","not moral","person","female",0.17,"immoral"
8,2690,"one_slider",12,"Alexander","educated","morphological","positive","educated","person","male",0.92,"uneducated"
8,11576,"one_slider",13,"Eric","fat","lexical","antonym","skinny","person","male",0,"skinny"
8,12622,"one_slider",14,"Laura","rich","lexical","neither_pos_nor_ant","neither rich nor poor","person","female",0.39,"poor"
8,3438,"one_slider",15,"Melinda","hard-working","lexical","neg_antonym","not lazy","person","female",0.63,"lazy"
8,1665,"one_slider",16,"Alicia","educated","morphological","neg_antonym","not uneducated","person","female",0.33,"uneducated"
8,2873,"one_slider",17,"Lucas","successful","morphological","antonym","unsuccessful","person","male",0.11,"unsuccessful"
8,2772,"one_slider",18,"Michael","tolerant","morphological","neg_positive","not tolerant","person","male",0.78,"intolerant"
8,13364,"one_slider",19,"John","hard-working","lexical","neither_pos_nor_ant","neither hard-working nor lazy","person","male",0.44,"lazy"
8,2400,"one_slider",20,"Angela","tall","lexical","antonym","short","person","female",0,"short"
8,2245,"one_slider",21,"Monica","hard-working","lexical","positive","hard-working","person","female",1,"lazy"
8,2834,"one_slider",22,"Veronica","honest","morphological","neither_pos_nor_ant","neither honest nor dishonest","person","female",0.52,"dishonest"
8,5902,"one_slider",23,"Kathleen","successful","morphological","neither_pos_nor_ant","neither successful nor unsuccessful","person","female",0.55,"unsuccessful"
8,2074,"one_slider",24,"Kim","fat","lexical","positive","fat","person","female",0.95,"skinny"
8,2675,"one_slider",25,"Jennifer","rich","lexical","antonym","poor","person","female",0.18,"poor"
8,1413,"one_slider",26,"Gabriel","tall","lexical","positive","tall","person","male",0.7,"short"
