"workerid","rt","trial_type","trial_num","name","response","gender","endpoint_high","negation","endpoint_low","sentence_type","adjective","referent","positive","superlative_endpoints","slider_position","antonym"
0,6240,"four_sliders",7,"Sophia",0.15,"female","most undefined","morphological","most undefined","neg_positive","not honest","person","honest",0,4,"dishonest"
0,10560,"four_sliders",8,"Monica",0,"female","most undefined","morphological","most undefined","antonym","uneducated","person","educated",0,1,"uneducated"
0,10560,"four_sliders",8,"Emma",0.37,"female","most undefined","morphological","most undefined","neg_positive","not educated","person","educated",0,2,"uneducated"
0,10560,"four_sliders",8,"Melinda",0.51,"female","most undefined","morphological","most undefined","neg_antonym","not uneducated","person","educated",0,3,"uneducated"
0,10560,"four_sliders",8,"Eric",1,"male","most undefined","morphological","most undefined","positive","educated","person","educated",0,4,"uneducated"
0,14328,"four_sliders",9,"Mia",0.74,"female","most undefined","morphological","most undefined","neg_antonym","not unattractive","person","attractive",0,1,"unattractive"
0,14328,"four_sliders",9,"Maya",1,"female","most undefined","morphological","most undefined","positive","attractive","person","attractive",0,2,"unattractive"
0,14328,"four_sliders",9,"Alicia",0,"female","most undefined","morphological","most undefined","antonym","unattractive","person","attractive",0,3,"unattractive"
0,14328,"four_sliders",9,"Diana",0.07,"female","most undefined","morphological","most undefined","neg_positive","not attractive","person","attractive",0,4,"unattractive"
0,13159,"four_sliders",10,"Charles",0.48,"male","most undefined","morphological","most undefined","neg_antonym","not uninteresting","person","interesting",0,1,"uninteresting"
0,13159,"four_sliders",10,"Laura",0,"female","most undefined","morphological","most undefined","antonym","uninteresting","person","interesting",0,2,"uninteresting"
0,13159,"four_sliders",10,"Jennifer",0.16,"female","most undefined","morphological","most undefined","neg_positive","not interesting","person","interesting",0,3,"uninteresting"
0,13159,"four_sliders",10,"Angela",1,"female","most undefined","morphological","most undefined","positive","interesting","person","interesting",0,4,"uninteresting"
1,17619,"four_sliders",1,"Andrew",0.3,"male","most undefined","morphological","most undefined","neg_positive","not mature","person","mature",0,1,"immature"
1,17619,"four_sliders",1,"John",0.77,"male","most undefined","morphological","most undefined","positive","mature","person","mature",0,2,"immature"
1,17619,"four_sliders",1,"Stephen",0.52,"male","most undefined","morphological","most undefined","neg_antonym","not immature","person","mature",0,3,"immature"
1,17619,"four_sliders",1,"Angela",0.36,"female","most undefined","morphological","most undefined","antonym","immature","person","mature",0,4,"immature"
1,11663,"four_sliders",2,"Kathleen",0.9,"female","most undefined","morphological","most undefined","positive","educated","person","educated",0,1,"uneducated"
1,11663,"four_sliders",2,"Cameron",0.22,"male","most undefined","morphological","most undefined","neg_positive","not educated","person","educated",0,2,"uneducated"
1,11663,"four_sliders",2,"Samuel",0.5,"male","most undefined","morphological","most undefined","neg_antonym","not uneducated","person","educated",0,3,"uneducated"
1,11663,"four_sliders",2,"Maya",0.23,"female","most undefined","morphological","most undefined","antonym","uneducated","person","educated",0,4,"uneducated"
1,7671,"four_sliders",3,"Alexander",0.3,"male","most undefined","morphological","most undefined","neg_positive","not polite","person","polite",0,1,"impolite"
1,7671,"four_sliders",3,"Tom",0.47,"male","most undefined","morphological","most undefined","neg_antonym","not impolite","person","polite",0,2,"impolite"
1,7671,"four_sliders",3,"Daniel",0.21,"male","most undefined","morphological","most undefined","antonym","impolite","person","polite",0,3,"impolite"
1,7671,"four_sliders",3,"Julia",0.8,"female","most undefined","morphological","most undefined","positive","polite","person","polite",0,4,"impolite"
1,8309,"four_sliders",4,"Stephanie",0.26,"female","most undefined","morphological","most undefined","neg_positive","not interesting","person","interesting",0,1,"uninteresting"
1,8309,"four_sliders",4,"Alison",0.78,"female","most undefined","morphological","most undefined","positive","interesting","person","interesting",0,2,"uninteresting"
1,8309,"four_sliders",4,"Monica",0.51,"female","most undefined","morphological","most undefined","neg_antonym","not uninteresting","person","interesting",0,3,"uninteresting"
1,8309,"four_sliders",4,"Sophia",0.36,"female","most undefined","morphological","most undefined","antonym","uninteresting","person","interesting",0,4,"uninteresting"
1,8047,"four_sliders",5,"Lee",0.28,"male","most undefined","morphological","most undefined","neg_positive","not successful","person","successful",0,1,"unsuccessful"
1,8047,"four_sliders",5,"Emma",0.24,"female","most undefined","morphological","most undefined","antonym","unsuccessful","person","successful",0,2,"unsuccessful"
1,8047,"four_sliders",5,"David",0.85,"male","most undefined","morphological","most undefined","positive","successful","person","successful",0,3,"unsuccessful"
1,8047,"four_sliders",5,"Eric",0.51,"male","most undefined","morphological","most undefined","neg_antonym","not unsuccessful","person","successful",0,4,"unsuccessful"
1,8355,"four_sliders",6,"Jeremy",0.35,"male","most undefined","morphological","most undefined","neg_positive","not friendly","person","friendly",0,1,"unfriendly"
1,8355,"four_sliders",6,"Dylan",0.31,"male","most undefined","morphological","most undefined","antonym","unfriendly","person","friendly",0,2,"unfriendly"
1,8355,"four_sliders",6,"Mia",0.84,"female","most undefined","morphological","most undefined","positive","friendly","person","friendly",0,3,"unfriendly"
1,8355,"four_sliders",6,"Veronica",0.5,"female","most undefined","morphological","most undefined","neg_antonym","not unfriendly","person","friendly",0,4,"unfriendly"
1,7335,"four_sliders",7,"Gabriel",0.47,"male","most undefined","morphological","most undefined","neg_antonym","not unhappy","person","happy",0,1,"unhappy"
1,7335,"four_sliders",7,"Michael",0.88,"male","most undefined","morphological","most undefined","positive","happy","person","happy",0,2,"unhappy"
1,7335,"four_sliders",7,"Melinda",0.32,"female","most undefined","morphological","most undefined","neg_positive","not happy","person","happy",0,3,"unhappy"
1,7335,"four_sliders",7,"Jennifer",0.27,"female","most undefined","morphological","most undefined","antonym","unhappy","person","happy",0,4,"unhappy"
1,6153,"four_sliders",8,"Lucas",0.27,"male","most undefined","morphological","most undefined","antonym","unattractive","person","attractive",0,1,"unattractive"
1,6153,"four_sliders",8,"Greg",0.28,"male","most undefined","morphological","most undefined","neg_antonym","not unattractive","person","attractive",0,2,"unattractive"
1,6153,"four_sliders",8,"Anthony",0.82,"male","most undefined","morphological","most undefined","positive","attractive","person","attractive",0,3,"unattractive"
1,6153,"four_sliders",8,"Claire",0.5,"female","most undefined","morphological","most undefined","neg_positive","not attractive","person","attractive",0,4,"unattractive"
1,15123,"four_sliders",9,"Laura",0.52,"female","most undefined","morphological","most undefined","neg_antonym","not dishonest","person","honest",0,1,"dishonest"
1,15123,"four_sliders",9,"Michelle",0.27,"female","most undefined","morphological","most undefined","neg_positive","not honest","person","honest",0,2,"dishonest"
1,15123,"four_sliders",9,"Diana",0.24,"female","most undefined","morphological","most undefined","antonym","dishonest","person","honest",0,3,"dishonest"
1,15123,"four_sliders",9,"William",0.84,"male","most undefined","morphological","most undefined","positive","honest","person","honest",0,4,"dishonest"
1,7781,"four_sliders",10,"Kim",0.3,"female","most undefined","morphological","most undefined","antonym","unintelligent","person","intelligent",0,1,"unintelligent"
1,7781,"four_sliders",10,"Alicia",0.27,"female","most undefined","morphological","most undefined","neg_positive","not intelligent","person","intelligent",0,2,"unintelligent"
1,7781,"four_sliders",10,"Charles",0.82,"male","most undefined","morphological","most undefined","positive","intelligent","person","intelligent",0,3,"unintelligent"
1,7781,"four_sliders",10,"Sasha",0.51,"female","most undefined","morphological","most undefined","neg_antonym","not unintelligent","person","intelligent",0,4,"unintelligent"
2,13682,"four_sliders",1,"David",0.25,"male","most undefined","morphological","most undefined","antonym","dishonest","person","honest",0,1,"dishonest"
2,13682,"four_sliders",1,"Anthony",0.67,"male","most undefined","morphological","most undefined","neg_antonym","not dishonest","person","honest",0,2,"dishonest"
2,13682,"four_sliders",1,"Kathleen",0.86,"female","most undefined","morphological","most undefined","positive","honest","person","honest",0,3,"dishonest"
2,13682,"four_sliders",1,"John",0.3,"male","most undefined","morphological","most undefined","neg_positive","not honest","person","honest",0,4,"dishonest"
2,14505,"four_sliders",2,"Alexander",0.69,"male","most undefined","morphological","most undefined","neg_antonym","not impolite","person","polite",0,1,"impolite"
2,14505,"four_sliders",2,"Jennifer",0.29,"female","most undefined","morphological","most undefined","neg_positive","not polite","person","polite",0,2,"impolite"
2,14505,"four_sliders",2,"Julia",0.22,"female","most undefined","morphological","most undefined","antonym","impolite","person","polite",0,3,"impolite"
2,14505,"four_sliders",2,"Kim",0.88,"female","most undefined","morphological","most undefined","positive","polite","person","polite",0,4,"impolite"
2,8004,"four_sliders",3,"Lucas",0.83,"male","most undefined","morphological","most undefined","positive","mature","person","mature",0,1,"immature"
2,8004,"four_sliders",3,"Veronica",0.76,"female","most undefined","morphological","most undefined","neg_antonym","not immature","person","mature",0,2,"immature"
2,8004,"four_sliders",3,"Samuel",0.18,"male","most undefined","morphological","most undefined","antonym","immature","person","mature",0,3,"immature"
2,8004,"four_sliders",3,"Maya",0.22,"female","most undefined","morphological","most undefined","neg_positive","not mature","person","mature",0,4,"immature"
2,12084,"four_sliders",4,"Stephanie",0.17,"female","most undefined","morphological","most undefined","neg_positive","not happy","person","happy",0,1,"unhappy"
2,12084,"four_sliders",4,"Angela",0.82,"female","most undefined","morphological","most undefined","neg_antonym","not unhappy","person","happy",0,2,"unhappy"
2,12084,"four_sliders",4,"Tom",0.92,"male","most undefined","morphological","most undefined","positive","happy","person","happy",0,3,"unhappy"
2,12084,"four_sliders",4,"Diana",0.24,"female","most undefined","morphological","most undefined","antonym","unhappy","person","happy",0,4,"unhappy"
2,11090,"four_sliders",5,"Lee",0.71,"male","most undefined","morphological","most undefined","neg_antonym","not unfriendly","person","friendly",0,1,"unfriendly"
2,11090,"four_sliders",5,"Jeremy",0.92,"male","most undefined","morphological","most undefined","positive","friendly","person","friendly",0,2,"unfriendly"
2,11090,"four_sliders",5,"Andrew",0.14,"male","most undefined","morphological","most undefined","antonym","unfriendly","person","friendly",0,3,"unfriendly"
2,11090,"four_sliders",5,"Claire",0.1,"female","most undefined","morphological","most undefined","neg_positive","not friendly","person","friendly",0,4,"unfriendly"
2,19200,"four_sliders",6,"Michelle",0.14,"female","most undefined","morphological","most undefined","antonym","uninteresting","person","interesting",0,1,"uninteresting"
2,19200,"four_sliders",6,"Daniel",0.77,"male","most undefined","morphological","most undefined","neg_antonym","not uninteresting","person","interesting",0,2,"uninteresting"
2,19200,"four_sliders",6,"William",0.91,"male","most undefined","morphological","most undefined","positive","interesting","person","interesting",0,3,"uninteresting"
2,19200,"four_sliders",6,"Sasha",0.11,"female","most undefined","morphological","most undefined","neg_positive","not interesting","person","interesting",0,4,"uninteresting"
2,9334,"four_sliders",7,"Emma",0.18,"female","most undefined","morphological","most undefined","neg_positive","not successful","person","successful",0,1,"unsuccessful"
2,9334,"four_sliders",7,"Stephen",0.93,"male","most undefined","morphological","most undefined","positive","successful","person","successful",0,2,"unsuccessful"
2,9334,"four_sliders",7,"Alison",0.09,"female","most undefined","morphological","most undefined","antonym","unsuccessful","person","successful",0,3,"unsuccessful"
2,9334,"four_sliders",7,"Monica",0.85,"female","most undefined","morphological","most undefined","neg_antonym","not unsuccessful","person","successful",0,4,"unsuccessful"
2,10312,"four_sliders",8,"Alicia",0.86,"female","most undefined","morphological","most undefined","positive","intelligent","person","intelligent",0,1,"unintelligent"
2,10312,"four_sliders",8,"Michael",0.12,"male","most undefined","morphological","most undefined","neg_positive","not intelligent","person","intelligent",0,2,"unintelligent"
2,10312,"four_sliders",8,"Laura",0.78,"female","most undefined","morphological","most undefined","neg_antonym","not unintelligent","person","intelligent",0,3,"unintelligent"
2,10312,"four_sliders",8,"Mia",0.08,"female","most undefined","morphological","most undefined","antonym","unintelligent","person","intelligent",0,4,"unintelligent"
2,6468,"four_sliders",9,"Cameron",0.85,"male","most undefined","morphological","most undefined","positive","attractive","person","attractive",0,1,"unattractive"
2,6468,"four_sliders",9,"Gabriel",0.11,"male","most undefined","morphological","most undefined","neg_positive","not attractive","person","attractive",0,2,"unattractive"
2,6468,"four_sliders",9,"Charles",0.07,"male","most undefined","morphological","most undefined","antonym","unattractive","person","attractive",0,3,"unattractive"
2,6468,"four_sliders",9,"Sophia",0.77,"female","most undefined","morphological","most undefined","neg_antonym","not unattractive","person","attractive",0,4,"unattractive"
2,11837,"four_sliders",10,"Dylan",0.16,"male","most undefined","morphological","most undefined","antonym","uneducated","person","educated",0,1,"uneducated"
2,11837,"four_sliders",10,"Greg",0.79,"male","most undefined","morphological","most undefined","neg_antonym","not uneducated","person","educated",0,2,"uneducated"
2,11837,"four_sliders",10,"Melinda",0.08,"female","most undefined","morphological","most undefined","neg_positive","not educated","person","educated",0,3,"uneducated"
2,11837,"four_sliders",10,"Eric",0.89,"male","most undefined","morphological","most undefined","positive","educated","person","educated",0,4,"uneducated"
3,31664,"four_sliders",1,"Dylan",0.76,"male","most undefined","morphological","most undefined","neg_antonym","not unsuccessful","person","successful",0,1,"unsuccessful"
3,31664,"four_sliders",1,"Emma",0,"female","most undefined","morphological","most undefined","antonym","unsuccessful","person","successful",0,2,"unsuccessful"
3,31664,"four_sliders",1,"Andrew",0.21,"male","most undefined","morphological","most undefined","neg_positive","not successful","person","successful",0,3,"unsuccessful"
3,31664,"four_sliders",1,"William",1,"male","most undefined","morphological","most undefined","positive","successful","person","successful",0,4,"unsuccessful"
3,7994,"four_sliders",2,"Michelle",0.35,"female","most undefined","morphological","most undefined","neg_positive","not educated","person","educated",0,1,"uneducated"
3,7994,"four_sliders",2,"Kathleen",0.63,"female","most undefined","morphological","most undefined","neg_antonym","not uneducated","person","educated",0,2,"uneducated"
3,7994,"four_sliders",2,"Samuel",0,"male","most undefined","morphological","most undefined","antonym","uneducated","person","educated",0,3,"uneducated"
3,7994,"four_sliders",2,"Mia",1,"female","most undefined","morphological","most undefined","positive","educated","person","educated",0,4,"uneducated"
3,11577,"four_sliders",3,"Jeremy",0.25,"male","most undefined","morphological","most undefined","neg_positive","not friendly","person","friendly",0,1,"unfriendly"
3,11577,"four_sliders",3,"Monica",1,"female","most undefined","morphological","most undefined","positive","friendly","person","friendly",0,2,"unfriendly"
3,11577,"four_sliders",3,"Alicia",0.7,"female","most undefined","morphological","most undefined","neg_antonym","not unfriendly","person","friendly",0,3,"unfriendly"
3,11577,"four_sliders",3,"John",0,"male","most undefined","morphological","most undefined","antonym","unfriendly","person","friendly",0,4,"unfriendly"
3,6997,"four_sliders",4,"Anthony",1,"male","most undefined","morphological","most undefined","positive","mature","person","mature",0,1,"immature"
3,6997,"four_sliders",4,"Lee",0.68,"male","most undefined","morphological","most undefined","neg_antonym","not immature","person","mature",0,2,"immature"
3,6997,"four_sliders",4,"Alexander",0.24,"male","most undefined","morphological","most undefined","neg_positive","not mature","person","mature",0,3,"immature"
3,6997,"four_sliders",4,"Lucas",0,"male","most undefined","morphological","most undefined","antonym","immature","person","mature",0,4,"immature"
3,5615,"four_sliders",5,"Sophia",0,"female","most undefined","morphological","most undefined","antonym","impolite","person","polite",0,1,"impolite"
3,5615,"four_sliders",5,"Jennifer",0.25,"female","most undefined","morphological","most undefined","neg_positive","not polite","person","polite",0,2,"impolite"
3,5615,"four_sliders",5,"Stephanie",1,"female","most undefined","morphological","most undefined","positive","polite","person","polite",0,3,"impolite"
3,5615,"four_sliders",5,"Cameron",0.74,"male","most undefined","morphological","most undefined","neg_antonym","not impolite","person","polite",0,4,"impolite"
3,6793,"four_sliders",6,"Laura",1,"female","most undefined","morphological","most undefined","positive","attractive","person","attractive",0,1,"unattractive"
3,6793,"four_sliders",6,"Greg",0.27,"male","most undefined","morphological","most undefined","neg_positive","not attractive","person","attractive",0,2,"unattractive"
3,6793,"four_sliders",6,"David",0,"male","most undefined","morphological","most undefined","antonym","unattractive","person","attractive",0,3,"unattractive"
3,6793,"four_sliders",6,"Kim",0.73,"female","most undefined","morphological","most undefined","neg_antonym","not unattractive","person","attractive",0,4,"unattractive"
3,5475,"four_sliders",7,"Tom",0,"male","most undefined","morphological","most undefined","antonym","uninteresting","person","interesting",0,1,"uninteresting"
3,5475,"four_sliders",7,"Sasha",0.7,"female","most undefined","morphological","most undefined","neg_antonym","not uninteresting","person","interesting",0,2,"uninteresting"
3,5475,"four_sliders",7,"Julia",1,"female","most undefined","morphological","most undefined","positive","interesting","person","interesting",0,3,"uninteresting"
3,5475,"four_sliders",7,"Gabriel",0.21,"male","most undefined","morphological","most undefined","neg_positive","not interesting","person","interesting",0,4,"uninteresting"
3,8699,"four_sliders",8,"Diana",0.71,"female","most undefined","morphological","most undefined","neg_antonym","not unintelligent","person","intelligent",0,1,"unintelligent"
3,8699,"four_sliders",8,"Maya",0.19,"female","most undefined","morphological","most undefined","neg_positive","not intelligent","person","intelligent",0,2,"unintelligent"
3,8699,"four_sliders",8,"Veronica",0,"female","most undefined","morphological","most undefined","antonym","unintelligent","person","intelligent",0,3,"unintelligent"
3,8699,"four_sliders",8,"Claire",1,"female","most undefined","morphological","most undefined","positive","intelligent","person","intelligent",0,4,"unintelligent"
3,8280,"four_sliders",9,"Melinda",0.7,"female","most undefined","morphological","most undefined","neg_antonym","not unhappy","person","happy",0,1,"unhappy"
3,8280,"four_sliders",9,"Michael",1,"male","most undefined","morphological","most undefined","positive","happy","person","happy",0,2,"unhappy"
3,8280,"four_sliders",9,"Alison",0.23,"female","most undefined","morphological","most undefined","neg_positive","not happy","person","happy",0,3,"unhappy"
3,8280,"four_sliders",9,"Eric",0,"male","most undefined","morphological","most undefined","antonym","unhappy","person","happy",0,4,"unhappy"
3,7404,"four_sliders",10,"Stephen",0.19,"male","most undefined","morphological","most undefined","neg_positive","not honest","person","honest",0,1,"dishonest"
3,7404,"four_sliders",10,"Angela",0.71,"female","most undefined","morphological","most undefined","neg_antonym","not dishonest","person","honest",0,2,"dishonest"
3,7404,"four_sliders",10,"Daniel",0,"male","most undefined","morphological","most undefined","antonym","dishonest","person","honest",0,3,"dishonest"
3,7404,"four_sliders",10,"Charles",1,"male","most undefined","morphological","most undefined","positive","honest","person","honest",0,4,"dishonest"
4,48131,"four_sliders",1,"Kim",0.69,"female","most undefined","morphological","most undefined","neg_antonym","not impolite","person","polite",0,1,"impolite"
4,48131,"four_sliders",1,"Samuel",0.28,"male","most undefined","morphological","most undefined","antonym","impolite","person","polite",0,2,"impolite"
4,48131,"four_sliders",1,"Gabriel",0.06,"male","most undefined","morphological","most undefined","neg_positive","not polite","person","polite",0,3,"impolite"
4,48131,"four_sliders",1,"Jeremy",0.96,"male","most undefined","morphological","most undefined","positive","polite","person","polite",0,4,"impolite"
4,21199,"four_sliders",2,"Dylan",0.08,"male","most undefined","morphological","most undefined","antonym","immature","person","mature",0,1,"immature"
4,21199,"four_sliders",2,"Laura",0.29,"female","most undefined","morphological","most undefined","neg_positive","not mature","person","mature",0,2,"immature"
4,21199,"four_sliders",2,"William",0.66,"male","most undefined","morphological","most undefined","neg_antonym","not immature","person","mature",0,3,"immature"
4,21199,"four_sliders",2,"Jennifer",0.93,"female","most undefined","morphological","most undefined","positive","mature","person","mature",0,4,"immature"
4,17636,"four_sliders",3,"Kathleen",0.59,"female","most undefined","morphological","most undefined","neg_antonym","not unfriendly","person","friendly",0,1,"unfriendly"
4,17636,"four_sliders",3,"Alison",0.11,"female","most undefined","morphological","most undefined","antonym","unfriendly","person","friendly",0,2,"unfriendly"
4,17636,"four_sliders",3,"Lee",0.88,"male","most undefined","morphological","most undefined","positive","friendly","person","friendly",0,3,"unfriendly"
4,17636,"four_sliders",3,"Anthony",0.22,"male","most undefined","morphological","most undefined","neg_positive","not friendly","person","friendly",0,4,"unfriendly"
4,18927,"four_sliders",4,"Stephen",0.11,"male","most undefined","morphological","most undefined","antonym","unsuccessful","person","successful",0,1,"unsuccessful"
4,18927,"four_sliders",4,"Julia",0.24,"female","most undefined","morphological","most undefined","neg_positive","not successful","person","successful",0,2,"unsuccessful"
4,18927,"four_sliders",4,"Cameron",0.61,"male","most undefined","morphological","most undefined","neg_antonym","not unsuccessful","person","successful",0,3,"unsuccessful"
4,18927,"four_sliders",4,"Diana",0.9,"female","most undefined","morphological","most undefined","positive","successful","person","successful",0,4,"unsuccessful"
4,19852,"four_sliders",5,"Lucas",0.09,"male","most undefined","morphological","most undefined","antonym","unintelligent","person","intelligent",0,1,"unintelligent"
4,19852,"four_sliders",5,"Greg",0.94,"male","most undefined","morphological","most undefined","positive","intelligent","person","intelligent",0,2,"unintelligent"
4,19852,"four_sliders",5,"Melinda",0.63,"female","most undefined","morphological","most undefined","neg_antonym","not unintelligent","person","intelligent",0,3,"unintelligent"
4,19852,"four_sliders",5,"Claire",0.35,"female","most undefined","morphological","most undefined","neg_positive","not intelligent","person","intelligent",0,4,"unintelligent"
4,12898,"four_sliders",6,"Alicia",0.93,"female","most undefined","morphological","most undefined","positive","educated","person","educated",0,1,"uneducated"
4,12898,"four_sliders",6,"Daniel",0.71,"male","most undefined","morphological","most undefined","neg_antonym","not uneducated","person","educated",0,2,"uneducated"
4,12898,"four_sliders",6,"Charles",0.08,"male","most undefined","morphological","most undefined","antonym","uneducated","person","educated",0,3,"uneducated"
4,12898,"four_sliders",6,"Emma",0.34,"female","most undefined","morphological","most undefined","neg_positive","not educated","person","educated",0,4,"uneducated"
4,15166,"four_sliders",7,"Michelle",0.3,"female","most undefined","morphological","most undefined","neg_positive","not honest","person","honest",0,1,"dishonest"
4,15166,"four_sliders",7,"Michael",0.1,"male","most undefined","morphological","most undefined","antonym","dishonest","person","honest",0,2,"dishonest"
4,15166,"four_sliders",7,"Alexander",0.64,"male","most undefined","morphological","most undefined","neg_antonym","not dishonest","person","honest",0,3,"dishonest"
4,15166,"four_sliders",7,"David",0.91,"male","most undefined","morphological","most undefined","positive","honest","person","honest",0,4,"dishonest"
4,19816,"four_sliders",8,"Andrew",0.58,"male","most undefined","morphological","most undefined","neg_antonym","not unattractive","person","attractive",0,1,"unattractive"
4,19816,"four_sliders",8,"Stephanie",0.26,"female","most undefined","morphological","most undefined","neg_positive","not attractive","person","attractive",0,2,"unattractive"
4,19816,"four_sliders",8,"Monica",0.08,"female","most undefined","morphological","most undefined","antonym","unattractive","person","attractive",0,3,"unattractive"
4,19816,"four_sliders",8,"Sophia",0.89,"female","most undefined","morphological","most undefined","positive","attractive","person","attractive",0,4,"unattractive"
4,23540,"four_sliders",9,"Eric",0.1,"male","most undefined","morphological","most undefined","antonym","uninteresting","person","interesting",0,1,"uninteresting"
4,23540,"four_sliders",9,"Tom",0.57,"male","most undefined","morphological","most undefined","neg_antonym","not uninteresting","person","interesting",0,2,"uninteresting"
4,23540,"four_sliders",9,"Mia",0.89,"female","most undefined","morphological","most undefined","positive","interesting","person","interesting",0,3,"uninteresting"
4,23540,"four_sliders",9,"Sasha",0.23,"female","most undefined","morphological","most undefined","neg_positive","not interesting","person","interesting",0,4,"uninteresting"
4,19132,"four_sliders",10,"John",0.09,"male","most undefined","morphological","most undefined","antonym","unhappy","person","happy",0,1,"unhappy"
4,19132,"four_sliders",10,"Maya",0.29,"female","most undefined","morphological","most undefined","neg_positive","not happy","person","happy",0,2,"unhappy"
4,19132,"four_sliders",10,"Angela",0.62,"female","most undefined","morphological","most undefined","neg_antonym","not unhappy","person","happy",0,3,"unhappy"
4,19132,"four_sliders",10,"Veronica",0.91,"female","most undefined","morphological","most undefined","positive","happy","person","happy",0,4,"unhappy"
5,16844,"four_sliders",1,"Alicia",0.16,"female","most undefined","morphological","most undefined","neg_positive","not honest","person","honest",0,1,"dishonest"
5,16844,"four_sliders",1,"Michael",0.54,"male","most undefined","morphological","most undefined","neg_antonym","not dishonest","person","honest",0,2,"dishonest"
5,16844,"four_sliders",1,"Veronica",0.76,"female","most undefined","morphological","most undefined","positive","honest","person","honest",0,3,"dishonest"
5,16844,"four_sliders",1,"Diana",0.02,"female","most undefined","morphological","most undefined","antonym","dishonest","person","honest",0,4,"dishonest"
5,11440,"four_sliders",2,"Samuel",0.45,"male","most undefined","morphological","most undefined","neg_positive","not intelligent","person","intelligent",0,1,"unintelligent"
5,11440,"four_sliders",2,"Maya",0.59,"female","most undefined","morphological","most undefined","neg_antonym","not unintelligent","person","intelligent",0,2,"unintelligent"
5,11440,"four_sliders",2,"Lucas",0.15,"male","most undefined","morphological","most undefined","antonym","unintelligent","person","intelligent",0,3,"unintelligent"
